id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
0,1,1,2,1,1,1,1024,1,25,100,0.048,4000,64.62,17.816951489785637,92.39567562452687,17170,1966.28,46.4400000050664,262.0,262.0,27757.46,393.06,2536.2200000000003,6362.66,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
1,1,2,2,1,1,1,1024,1,25,100,0.048,4000,70.85,17.86493801557822,92.34613876911015,16760,2138.04,46.14000000059605,284.84000000000003,284.82,30205.62,427.4,2705.26,6482.7,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
2,1,3,2,1,1,1,1024,1,25,100,0.048,4000,75.26,17.8308288716739,92.25932975556611,16274,2291.68,45.080000005662434,305.36,305.36,32365.54,458.14,2824.24,6509.18,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
3,1,7,2,1,1,1,1024,1,25,100,0.048,4000,75.08,17.838595336274537,92.20126019153663,15954,2228.42,42.21999999880792,296.96,296.96,31477.46,445.4,2724.68,6127.22,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
4,2,1,2,1,1,1,1024,1,25,100,0.048,4000,82.9,24.694435875905043,92.49925539315778,31180,2531.38,45.96000000089406,337.42,337.42,35735.38,506.02,2825.9,6630.22,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
5,2,2,2,1,1,1,1024,1,25,100,0.048,4000,87.25,24.73709056549845,92.61610566465076,31271,2694.42,48.25999999791384,359.02,359.06,38054.34,538.34,2920.32,6552.52,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
6,2,3,2,1,1,1,1024,1,25,100,0.048,4000,86.43,24.70806979495316,92.55661994790756,31143,2712.98,46.42000000178814,361.6,361.6,38306.68,542.32,2905.7200000000003,6468.32,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
7,2,7,2,1,1,1,1024,1,25,100,0.048,4000,87.22,24.72632950796404,92.53251130519048,30788,2631.82,41.79999999701977,350.66,350.68,37171.86,526.0600000000001,2844.86,6399.4800000000005,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
8,3,1,2,1,1,1,1024,1,25,100,0.048,4000,90.15,31.5887922368465,92.79298589397185,46290,2588.34,42.620000004768364,344.94,344.94,36557.52,517.58,2393.86,5762.82,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
9,3,2,2,1,1,1,1024,1,25,100,0.048,4000,94.84,31.595317040962385,92.9168870062099,46845,2744.58,44.7199999988079,365.76,365.74,38771.84,548.64,2565.74,6385.860000000001,64-1000000-4-oltp_read_write_50-0.2,"[0.2158354908507522, 0.07632453685619887, 0.09849097005080118, 0.05858567617806337, 0.05494717599126391, 0.05717001324498689, 0.05048143662634721, 0.11917914668086907, 0.07617405042516778, 0.05942425636257723, 0.0852054172498016, 0.04818182948317071]"
