id,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Traffic Received (Eth0),Average Network Traffic Received (LO Interface),Average Network Retransmit Rate,Average Network Traffic Sent (Eth0),Average Network Traffic Sent (LO Interface),Average Swap Usage Percentage,Average Disk IOPS (Read),"Average Disk IOPS (Read, VDA)","Average Disk IOPS (Write, Sr0)",Average Disk IOPS (Write),Average Disk Busy (Sr0),Average Disk Busy (VDA),Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Status),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),label,workload_label,mem_size,num_cpu
1,296.86,79.64499999998952,11.662500000000025,0,0.0,0.3087499999999679,0.036249999999999,2.213749999999777,4.876250000000368,14.605326435536014,3692081152,25279004672,0,0,310.72,12316051.46,1.89765613724e-05,3082.0,12316051.46,,0,4879.42,0,0.02,0,100.00199999997858,0,0,88.23376132250898,4677.36,130793,0,279,0,38.85999999986961,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,8601.84,0,0.0,4300.7,0,122874.98,0.0,0,31253.4,0.0,30833.3,0.0,0.0,120989.16,0.0,2142912512,16777216,8388608,119598.84,11701206.06,79,2,16384,413,4000,0,0,1169.06,0,0.54,0,0,0,58454.72,584.5600000000001,112,2000,0,0.18,0,0.18,4091.5,0.9999560082899934,0.18,0.0,0,0,292.64,0,9,0,4383.78,0.0,0.0,0,0,292.28000000000003,292.28000000000003,4091.78,,4383.78,,99,21.19154000734721,22751571968,0.1,0.1,,,,,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
2,339.36,77.65499999991152,12.661249999999995,0,0.0,0.3175000000000026,0.0424999999999986,2.4212500000001,5.510000000000219,19.1949066308555,4852281344,25279004672,0,0,606.22,14228282.56,1.89473484244e-05,3125.98,14228282.56,,0,5113.56,0,3.12,0,99.99599999998463,0,0,88.69560600725313,5405.74,196179,0,429,0,34.52000000001863,0,0,6.0,5,6,5,5,151,0,0.0,0,9994.36,0,0.0,4996.9800000000005,0,142769.2,0.0,0,36272.86,0.0,35803.0,0.0,0.0,139832.9,0.0,3214196736,16777216,8388608,138222.98,13523189.8,79,2,16384,414,4000,0,0,1351.06,0,0.66,0,0,0,67546.12,675.48,112,2000,0,0.22,0,0.22,4728.82,0.9999534789301844,0.22,0.0,0,0,338.18,0,9,0,5066.56,0.0,0.0,0,0,337.74,337.74,4729.14,,5066.56,,95,21.192234363751883,22752317440,,,,0.12,,,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
3,371.48,76.65874999991502,13.063750000000368,0,0.0,0.3399999999999537,0.0387499999999896,2.5625,5.9612499999993815,23.800738605283016,6016589824,25279004672,0,0,356.08,15522412.12,1.89140001271e-05,3118.04,15522412.12,,0,5023.76,0,1.2,0,99.98800000001212,0,0,89.1674078997527,5897.74,261528,0,616,0,37.200000000186265,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,11188.48,0,0.0,5594.1,0,159827.74,0.0,0,40560.48,0.0,40060.66,0.0,0.0,152575.58000000002,0.0,4284874752,16777216,8388608,150797.80000000002,14755210.1,79,2,16384,413,4000,0,0,1474.18,0,0.6,0,0,0,73706.36,737.08,112,2000,0,0.2,0,0.2,5159.28,0.9999612364036686,0.2,0.0,0,0,368.94,0,9,0,5527.82,0.0,0.0,0,0,368.54,368.54,5159.58,,5527.8,,100,21.19196348845116,22752026624,,,,0.1,0.1,,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
4,430.08,76.5137499999837,12.4987500000002,0,0.0,0.3662499999999937,0.0387500000000002,2.741250000000093,6.651249999999663,32.956307180985505,8331026432,25279004672,0,0,388.16,17710629.14,1.88789908213e-05,3139.92,17710629.14,,0,4654.52,0,1.14,0,100.00400000001537,0,0,89.92798523310715,6680.2,392456,0,760,0,47.359999999869615,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,11880.62,0,0.0,5940.12,0,169717.62,0.0,0,43055.06,0.0,42530.56,0.0,0.0,172807.42,0.0,6429999104,16777216,8388608,170797.2,16711177.22,79,2,16384,413,4000,0,0,1669.7,0,0.58,0,0,0,83478.44,834.84,112,2000,0,0.2,0,0.2,5844.06,0.999965778387683,0.2,0.0,0,0,417.8,0,9,0,6261.46,0.0,0.0,0,0,417.42,417.42,5844.34,0.1,6261.4800000000005,,95,21.192356448394456,22752448512,,,,0.1,,0.1,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
5,493.62,75.66125000000466,12.15000000000032,0,0.0,0.4012500000000258,0.0374999999999925,3.0174999999999845,7.502499999999827,42.14807363757269,10654613504,25279004672,0,0,319.12,20493238.42,1.88377853501e-05,3090.4,20493238.42,,0,4523.64,0,1.18,0,100.0020000000368,0,0,90.42882592801368,7682.96,523063,0,1225,0,46.16000000014901,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,14192.3,0,0.0,7095.92,0,202734.34,0.0,0,51417.42,0.0,50797.66,0.0,0.0,198756.94,0.0,8569864192,16777216,8388608,196433.8,19219757.5,79,2,16384,381,4000,0,0,1920.46,0,0.6,0,0,0,96018.62,960.24,112,2000,0,0.2,0,0.2,6721.42,0.9999702452682538,0.2,0.0,0,0,480.52,0,9,0,7201.56,0.0,0.0,0,0,480.12,480.12,6721.74,,7201.56,,99,21.19254720564849,22752653312,,0.1,,,0.1,0.1,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
6,541.07,74.70250000001398,13.121250000000146,0,0.0,0.4099999999999965,0.0549999999999961,3.0775000000001,7.373749999999746,43.87246355583094,11090522112,25279004672,0,0,312.32,19935847.3,1.8795287589e-05,3090.1800000000003,19935847.3,,0,4982.400000000001,0,1.42,0,100.02399999997576,0,0,89.8143259541538,7421.2,535277,53521,1026,0,48.359999999869615,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,17172.74,0,0.0,8586.14,0,245311.08,0.0,0,62194.82,0.0,61455.94,0.0,0.0,191985.14,0.0,8769978368,16777216,8388608,189738.88,18565022.7,79,2,16384,413,4000,0,0,1854.98,0,0.54,0,0,0,92745.32,927.48,112,2000,0,0.18,0,0.18,6492.360000000001,0.999972275873541,0.18,0.0,0,0,464.1,0,9,0,6956.1,0.0,0.0,0,0,463.74,463.74,6492.66,,6956.12,,93,21.192890568705742,22753021952,0.1,0.1,,,,0.1,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
7,662.37,75.58749999999418,12.897499999999807,0,0.0,0.3912500000000278,0.0474999999999976,2.875,7.018749999999272,45.164002001415504,11417010176,25279004672,0,0,322.6,18776668.28,1.87479669015e-05,3092.7000000000003,18776668.28,,0,4738.02,0,0.24,0,99.99800000002142,0,0,89.62214392586515,7025.82,538560,246859,1013,0,54.72000000020489,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,17934.48,0,0.0,8967.04,0,256187.92,0.0,0,64888.9,0.0,64148.24,0.0,0.0,181754.12,0.0,8823767040,16777216,8388608,179638.30000000002,17575631.96,79,2,16384,413,4000,0,0,1756.14,0,0.58,0,0,0,87799.54000000001,878.04,112,2000,0,0.18,0,0.18,6146.46,0.999970715708094,0.18,0.0,0,0,439.42,0,9,0,6585.42,0.0,0.0,0,0,439.02,439.02,6146.78,0.1,6585.4800000000005,,96,21.19349336162848,22753669120,0.1,0.1,,,0.1,,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
8,724.56,73.30124999998951,13.831250000000407,0,0.0,0.4337499999999962,0.045000000000007,3.2374999999999545,7.973749999999428,49.61306830997052,12541689856,25279004672,0,0,313.44,20878037.64,1.86893772237e-05,3085.28,20878037.64,,0,5229.88,0,2.72,0,99.99599999998463,0,0,89.74362422882997,7816.400000000001,588310,458921,1345,0,52.25999999977648,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,27471.48,0,0.0,13735.5,0,392418.0,0.0,0,99313.06,0.0,98218.24,0.0,0.0,202202.72,0.0,9638871040,16777216,8388608,199843.04,19553478.56,79,2,16384,399,4000,0,0,1953.76,0,0.6,0,0,0,97684.46,976.9,112,2000,0,0.2,0,0.2,6838.18,0.99997075330707,0.2,0.0,0,0,488.84,0,9,0,7326.64,0.0,0.0,0,0,488.44,488.44,6838.4800000000005,0.1,7326.62,,99,21.193874876136544,22754078720,0.1,0.1,,0.1,0.1,,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
9,730.55,73.3575000000128,13.66125000000011,0,0.0,0.4687499999999859,0.0525000000000055,3.306250000000091,8.128750000000197,50.76521088749297,12832940032,25279004672,0,0,602.26,21216879.44,1.86276642644e-05,3123.1,21216879.44,,0,5369.74,0,2.12,0,100.00599999999396,0,0,89.68065809544714,7859.76,596267,581994,1387,0,50.6999999997206,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,30718.26,0,0.0,15358.9,0,438805.38,0.0,0,111052.8,0.0,109830.14,0.0,0.0,203339.34,0.0,9769238528,16777216,8388608,200953.6,19662124.84,79,2,16384,413,4000,0,0,1964.7,0,0.56,0,0,0,98231.66,982.34,112,2000,0,0.18,0,0.18,6876.16,0.999973823283898,0.18,0.0,0,0,491.54,0,9,0,7367.32,0.0,0.0,0,0,491.14,491.14,6876.46,0.1,7367.3,,100,21.19375660663905,22753951744,0.1,0.1,,,0.1,0.1,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
10,301.67,76.63375000000813,14.271250000000007,0,0.0,0.2787499999999809,0.0387500000000002,2.458750000000065,5.2612499999999045,10.043113393669614,2538799104,25279004672,0,0,311.12,12645308.6,1.85713942222e-05,3085.36,12645308.6,,0,5484.46,0,0.02,0,100.00799999997253,0,0,87.76503082802608,4810.5,65357,0,179,0,63.68000000016764,0,0,6.0,5,6,5,5,151,0,0.0,0,31567.28,0,0.0,15783.48,0,450943.84,0.0,0,114065.32,0.0,112837.72,0.0,0.0,124433.24,0.0,1070809088,16777216,8388608,123000.82,12033756.66,79,2,16384,413,4000,0,0,1202.28,0,0.54,0,0,0,60113.8,601.16,112,2000,0,0.18,0,0.18,4207.96,0.999957225757698,0.18,0.0,0,0,300.94,0,9,0,4508.62,0.0,0.0,0,0,300.58,300.58,4208.24,,4508.54,,97,21.19233737266906,22752428032,0.1,0.1,,,0.1,0.1,,,,"[0.77903292 0.0129433  0.0129433  0.01376681 0.0129433  0.0129433
 0.01702501 0.0129433  0.01439338 0.01609409 0.0129433  0.08202796]",64-1000000-4-oltp_read_only-0.2,24,16
