id,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu
1,343.58,12.020000000018626,49.259999999987485,0,0,1.4350000000001728,0.2299999999999613,10.145000000000437,22.41000000000349,60.33534002171257,3774287872,6255517696,0,0,0.0003431700476953,,0,0,88.31506402684525,5335.040000000001,130686,0,386,0,92.0,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,0.36,0,0.0,0.0,0,0.0,0.0,0,200.76,0.0,100.56,0.0,0.0,138006.84000000003,0.0,2141159424,16777216,8388608,136410.32000000004,13345885.160000002,79,2,16384,413,4000,0,0,1333.4200000000003,0,0.5400000000000001,0,0,0,66668.00000000001,666.7200000000001,112,2000,0,0.18,0,0.18,4666.960000000001,0.9999614324832766,0.18,0.0,0,0,333.7200000000001,0,9,0,5000.280000000001,0.0,0.0,0,0,333.3400000000001,333.3400000000001,4667.240000000001,,,5000.300000000001,,101,22.407865486225177,24057438208,0.1,0.1,,,,,,,7020117.550000001,7021329.350000001,5573.400000000001,3.24,99.99800000002142,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
2,379.78,9.755000000004657,48.26000000000568,0,0,1.6049999999991087,0.160000000000025,11.029999999997017,25.11999999999534,78.68095488159578,4921901056,6255517696,0,0,0.0003433626906046,,0,0,88.84510869030049,6019.28,196023,0,585,0,94.22000000020488,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,0.36,0,0.0,0.0,0,0.0,0.0,0,201.0,0.0,100.76,0.0,0.0,155706.56,0.0,3211640832,16777216,8388608,153909.36000000002,15058404.04,79,2,16384,414,4000,0,0,1504.44,0,0.68,0,0,0,75222.3,752.24,112,2000,0,0.22,0,0.22,5265.54,0.9999582206557076,0.22,0.0,0,0,376.58,0,9,0,5641.68,0.0,0.0,0,0,376.12,376.12,5265.88,,0.12,5641.66,,97,22.408037167753804,24057622528,,,,,,,,,7922132.6,7923220.05,5679.32,0.06,100.01399999996649,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
3,410.89,6.815000000176951,48.25000000000728,0,0,1.7199999999995723,0.2199999999999704,11.56500000000051,26.924999999999272,98.01902272486194,6131597312,6255517696,0,0,0.0003432172214285,,0,0,89.39751377163762,6578.52,261272,0,872,0,95.9199999999255,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,58.42,0,0.0,0.0,0,0.0,0.0,0,200.64,0.0,78121.78,0.0,0.0,170179.0,0.0,4280680448,16777216,8388608,168200.74,16456364.8,79,2,16384,413,4000,0,0,1644.28,0,0.56,0,0,0,82211.5,822.14,112,2000,0,0.18,0,0.18,5755.06,0.9999687241539884,0.18,0.0,0,0,411.46,0,9,0,6166.16,0.0,0.0,0,0,411.08,411.08,5755.36,0.1,,6166.14,,101,22.40861325466097,24058241024,0.1,0.1,,0.1,,,,,8614675.21,8615877.64,5565.900000000001,4.76,99.98999999999069,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
4,343.69,4.294999999925494,55.56999999999607,0,0,1.4299999999993815,0.1799999999999499,10.61999999999898,22.74499999999898,41.45313136366195,2593107968,6255517696,0,0,0.0003427376575459,,0,0,87.79900622282388,5503.26,65327,0,209,0,96.5800000000745,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,57.44,0,0.0,0.0,0,0.0,0.0,0,251.76,0.0,76228.18000000001,0.0,0.0,142363.06,0.0,1070317568,16777216,8388608,140710.68,13767825.42,79,2,16384,413,4000,0,0,1375.52,0,0.58,0,0,0,68775.24,687.76,112,2000,0,0.2,0,0.2,4814.12,0.9999584572691472,0.2,0.0,0,0,344.26,0,9,0,5157.9800000000005,0.0,0.0,0,0,343.88,343.88,4814.400000000001,0.1,0.1,5158.0,,94,22.407976125432505,24057556992,,0.1,,,,,,,7281497.46,7281441.399999999,6310.28,0.94,100.01199999998788,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
5,341.65,4.60999999998603,55.15499999999156,0,0,1.3650000000006912,0.214999999999975,10.75,22.84499999999753,41.35818798265613,2587168768,6255517696,0,0,0.0003423057151123,,0,0,87.5667570617409,5472.62,65319,0,217,0,97.5800000000745,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,56.3,0,0.0,0.0,0,0.0,0.0,0,226.2,0.0,75775.92,0.0,0.0,141555.52,0.0,1070186496,16777216,8388608,139929.82,13689863.74,79,2,16384,414,4000,0,0,1367.74,0,0.6,0,0,0,68388.04000000001,683.9,112,2000,0,0.2,0,0.2,4787.34,0.9999582248921158,0.2,0.0,0,0,342.34000000000003,0,9,0,5129.26,0.0,0.0,0,0,341.94,341.94,4787.64,0.1,0.1,5129.28,,97,22.408216479572584,24057815040,,0.1,0.1,0.1,,,,,7195371.090000001,7196446.930000001,6228.68,0.12,99.98399999999674,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
6,336.15,5.444999999948777,54.53000000000248,0,0,1.3500000000001364,0.2449999999999477,10.534999999999854,22.44499999999607,41.479911944924986,2594783232,6255517696,0,0,0.000341881059411,,0,0,87.81168413326675,5361.76,65310,0,226,0,95.5,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,57.74,0,0.0,0.0,0,0.0,0.0,0,251.64,0.0,76788.14,0.0,0.0,138693.16,0.0,1070039040,16777216,8388608,137096.58000000002,13413174.5,79,2,16384,413,4000,0,0,1340.08,0,0.6,0,0,0,67001.8,670.04,112,2000,0,0.2,0,0.2,4690.34,0.9999573609861552,0.2,0.0,0,0,335.42,0,9,0,5025.34,0.0,0.0,0,0,335.02,335.02,4690.64,0.1,0.1,5025.36,,98,22.40804098289888,24057626624,,0.1,0.1,0.1,,,,,7040620.23,7041695.81,6104.9400000000005,1.34,100.00399999995716,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
7,341.57,6.234999999869615,53.38999999999578,0,0,1.3849999999995362,0.2199999999999704,10.549999999999272,22.845000000001164,41.46629248061519,2593931264,6255517696,0,0,0.0003414751756263,,0,0,87.58204610713403,5506.7,65293,0,243,0,96.3000000002794,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,8078.74,0,0.0,4039.18,0,115395.66,0.0,0,29338.08,0.0,28949.36,0.0,0.0,142459.04,0.0,1069760512,16777216,8388608,140801.6,13776888.26,79,2,16384,414,4000,0,0,1376.4,0,0.6,0,0,0,68819.98,688.22,112,2000,0,0.2,0,0.2,4817.06,0.999958482622902,0.2,0.0,0,0,344.52,0,9,0,5161.16,0.0,0.0,0,0,344.1,344.1,4817.36,0.1,0.1,5161.16,,100,22.40871626357816,24058351616,0.1,0.1,0.1,0.1,,,,,7225306.24,7226401.2,6250.56,0.24,99.98599999997532,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
8,342.09,3.469999999855645,55.940000000005966,0,0,1.3749999999995453,0.2150000000000318,10.725000000000364,22.87499999999636,41.466619871584165,2593951744,6255517696,0,0,0.0003410472773953,,0,0,87.56792514833957,5521.88,65327,0,209,0,98.160000000149,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,9667.76,0,0.0,4833.68,0,138094.8,0.0,0,35095.98,0.0,34637.8,0.0,0.0,142835.30000000002,0.0,1070317568,16777216,8388608,141188.78,13813633.08,79,2,16384,413,4000,0,0,1380.1,0,0.6,0,0,0,69004.58,690.0600000000001,112,2000,0,0.2,0,0.2,4830.400000000001,0.9999585972757008,0.2,0.0,0,0,345.44,0,9,0,5175.46,0.0,0.0,0,0,345.04,345.04,4830.7,,,5175.4400000000005,,93,22.408830717930574,24058474496,0.1,0.1,0.1,0.1,,,,,7293779.59,7294881.46,6304.08,0.18,100.00400000001537,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
9,341.1,4.209999999962747,55.844999999997526,0,0,1.3600000000003547,0.2299999999999613,10.49499999999898,22.950000000000728,41.4296901702826,2591641600,6255517696,0,0,0.0003406352355897,,0,0,87.77793297099166,5371.12,63955,0,1581,0,96.5800000000745,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,10743.44,0,0.0,5371.56,0,153473.78,0.0,0,38982.04,0.0,38485.4,0.0,0.0,138935.6,0.0,1047838720,16777216,8388608,137340.62,13436937.52,79,2,16384,294,4000,0,0,1342.42,0,0.62,0,0,0,67117.12,671.1800000000001,69,2000,0,0.2,0,0.2,4698.52,0.9999574352163992,0.2,0.0,0,0,336.02,0,9,0,5034.12,0.0,0.0,0,0,335.62,335.62,4698.84,0.1,,5034.14,,313,22.40850643059872,24058126336,0.1,0.1,0.1,0.1,,,,,7074951.37,7075330.68,6110.62,1.66,100.00400000001537,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
10,340.95,5.000000000116415,54.544999999998254,0,0,1.3199999999999363,0.1899999999999977,10.574999999998909,23.13999999999941,41.67045348887461,2606702592,6255517696,0,0,0.0003406833123,,0,0,87.82377354865233,5511.24,63707,0,1829,0,96.93999999994412,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,12181.78,0,0.0,6090.66,0,174012.02,0.0,0,44160.36,0.0,43612.46,0.0,0.0,142561.30000000002,0.0,1043775488,16777216,8388608,140918.42,13786785.54,79,2,16384,293,4000,0,0,1377.46,0,0.56,0,0,0,68868.54000000001,688.7,69,2000,0,0.18,0,0.18,4821.16,0.9999626659808268,0.18,0.0,0,0,344.72,0,9,0,5165.54,0.0,0.0,0,0,344.34000000000003,344.34000000000003,4821.46,0.1,,5165.5,,523,22.408727709013387,24058363904,0.1,0.1,0.1,0.1,,,,,7300727.119999999,7301815.38,6295.900000000001,2.22,99.99400000000604,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
11,346.05,5.965000000083819,53.41999999999098,0,0,1.3899999999996453,0.1499999999999772,10.74499999999898,23.215000000000146,42.09841896353258,2633474048,6255517696,0,0,0.0003407412402665,,0,0,87.57485929000734,5521.62,65309,0,227,0,94.45999999996276,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,14013.48,0,0.0,7006.58,0,200187.06,0.0,0,50749.48,0.0,50148.76,0.0,0.0,142830.96,0.0,1070022656,16777216,8388608,141178.32,13813169.88,79,2,16384,398,4000,0,0,1380.06,0,0.62,0,0,0,69004.04000000001,690.0600000000001,112,2000,0,0.22,0,0.22,4830.14,0.9999544547404332,0.22,0.0,0,0,345.44,0,9,0,5175.16,0.0,0.0,0,0,345.02,345.02,4830.42,,0.12,5175.16,,95,22.40873152415848,24058368000,,,,,,,,,7264827.41,7265514.25,6319.38,2.1,99.99800000002142,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
12,343.52,5.614999999990687,53.87500000000728,0,0,1.374999999999318,0.2549999999999386,10.50500000000102,22.859999999996944,41.76670643375636,2612723712,6255517696,0,0,0.0003403349646149,,0,0,87.75495732688836,5398.060000000001,65530,0,6,0,96.45999999996276,0,0,6.0,5,6,5,5,151,0,0.0,0,14533.04,0,0.0,7266.34,0,207598.82,0.0,0,52645.8,0.0,52013.84,0.0,0.0,139627.38000000003,0.0,1073643520,16777216,8388608,138022.24000000002,13503296.300000004,79,2,16384,293,4000,0,0,1349.1000000000004,0,0.56,0,0,0,67453.70000000001,674.5600000000002,69,2000,0,0.18,0,0.18,4722.060000000001,0.9999618824964424,0.18,0.0,0,0,337.6600000000001,0,9,0,5059.340000000001,0.0,0.0,0,0,337.30000000000007,337.2800000000001,4722.360000000001,0.1,,5059.340000000001,,315,22.40979213449088,24059506688,0.1,0.1,0.1,0.1,,,,,7096692.0200000005,7097782.79,6154.64,0.3,100.00400000001537,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
13,341.52,5.39000000001397,54.509999999987485,0,0,1.3699999999998909,0.1650000000000204,10.5,22.62499999999636,41.34397921460216,2586279936,6255517696,0,0,0.0003399075125515,,0,0,87.59320216255946,5482.64,65293,0,243,0,95.5800000000745,0,0,6.0,5,6,5,5,151,0,0.0,0,15894.8,0,0.0,7947.16,0,227053.66,0.0,0,57584.22,0.0,56890.98,0.0,0.0,141827.72,0.0,1069760512,16777216,8388608,140185.98,13715331.86,79,2,16384,413,4000,0,0,1370.34,0,0.56,0,0,0,68515.16,685.1800000000001,112,2000,0,0.18,0,0.18,4796.18,0.9999624715409184,0.18,0.0,0,0,342.98,0,9,0,5138.76,0.0,0.0,0,0,342.58,342.58,4796.4800000000005,0.1,,5138.76,,101,22.40974253760484,24059453440,0.1,0.1,0.1,0.1,,,,,7330223.46,7331320.06,6327.56,1.26,100.00199999997858,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
14,339.24,5.015000000130385,54.54500000000553,0,0,1.309999999999491,0.2500000000000568,10.445000000001528,22.794999999998254,41.425172174910585,2591358976,6255517696,0,0,0.0003394864345618,,0,0,87.78225519783938,5505.02,63953,0,1583,0,95.73999999975786,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,16259.98,0,0.0,8129.76,0,232276.98,0.0,0,58896.4,0.0,58190.1,0.0,0.0,142402.94,0.0,1047805952,16777216,8388608,140752.14,13772334.92,79,2,16384,294,4000,0,0,1375.96,0,0.56,0,0,0,68798.16,688.0,69,2000,0,0.2,0,0.2,4815.68,0.9999584707260148,0.2,0.0,0,0,344.36,0,9,0,5159.68,0.0,0.0,0,0,343.98,343.98,4815.9400000000005,0.1,0.1,5159.66,,311,22.408914651122338,24058564608,0.1,0.1,0.1,0.1,,,,,7220483.83,7220436.38,6224.24,1.2,99.98599999997532,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
15,342.42,9.29500000004191,50.86000000000058,0,0,1.3550000000000182,0.1899999999999408,10.459999999999129,22.51499999999941,41.42543408768577,2591375360,6255517696,0,0,0.0003390755852184,,0,0,87.58803101268043,5495.86,65296,0,240,0,93.62000000011176,0,0,6.0,5,6,5,5,151,0,0.0,0,16932.84,0,0.0,8466.22,0,241879.68,0.0,0,61299.86,0.0,60582.7,0.0,0.0,142155.30000000002,0.0,1069809664,16777216,8388608,140529.92,13747090.86,79,2,16384,413,4000,0,0,1373.56,0,0.6,0,0,0,68670.9,686.74,112,2000,0,0.18,0,0.18,4807.66,0.9999625611501214,0.18,0.0,0,0,343.78000000000003,0,9,0,5151.04,0.0,0.0,0,0,343.36,343.36,4808.0,0.1,,5151.02,,103,22.409898958553143,24059621376,0.1,0.1,0.1,0.1,,,,,7222996.66,7224082.800000001,6243.7,0.06,100.00799999997253,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
16,341.07,5.125000000116415,54.10000000000946,0,0,1.3949999999992997,0.2849999999999113,10.424999999999272,23.02500000000145,41.67228687830092,2606817280,6255517696,0,0,0.000338655716151,,0,0,87.77595614823473,5280.86,63982,0,1554,0,96.5399999995716,0,0,5.333333333333333,5,6,5,5,151,0,0.0,0,17702.600000000002,0,0.0,8851.12,0,252880.26,0.0,0,64077.22,0.0,63332.04,0.0,0.0,136603.08000000002,0.0,1048281088,16777216,8388608,135030.0,13210617.28,79,2,16384,293,4000,0,0,1319.94,0,0.6,0,0,0,65987.44,659.94,69,2000,0,0.2,0,0.2,4619.58,0.9999567078951812,0.2,0.0,0,0,330.36,0,9,0,4949.54,0.0,0.0,0,0,329.96,329.96,4619.88,0.1,0.1,4949.54,,313,22.409071072070653,24058732544,0.1,0.1,0.1,0.1,,,,,7135304.73,7136400.23,6158.72,0.4,100.00199999997858,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
17,341.1,5.239999999990687,54.34999999999127,0,0,1.4350000000006276,0.2000000000001023,10.545000000000073,22.970000000001164,41.51179982530417,2596777984,6255517696,0,0,0.0003382327056827,,0,0,87.82303571196928,5548.64,63772,0,1764,0,97.47999999998136,0,0,6.0,5,6,5,5,151,0,0.0,0,17918.08,0,0.0,8958.84,0,255957.8,0.0,0,64879.44,0.0,64113.96,0.0,0.0,143538.4,0.0,1044840448,16777216,8388608,141874.86000000002,13881130.9,79,2,16384,294,4000,0,0,1386.88,0,0.56,0,0,0,69342.3,693.44,69,2000,0,0.18,0,0.18,4853.88,0.9999629176400786,0.18,0.0,0,0,347.1,0,9,0,5200.6,0.0,0.0,0,0,346.72,346.72,4854.18,0.1,,5200.6,,533,22.40974253760484,24059453440,0.1,0.1,0.1,0.1,,,,,7276581.74,7276537.87,6267.42,2.22,100.01799999998184,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
18,344.93,3.899999999906868,55.86999999999534,0,0,1.360000000000127,0.1899999999999408,10.5049999999992,23.04000000000088,41.48423350571559,2595053568,6255517696,0,0,0.0003381369315393,,0,0,87.83960036009802,5529.22,63892,0,1644,0,96.78000000026076,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9837.98,0,0.0,4918.78,0,140534.78,0.0,0,35710.44,0.0,35246.18,0.0,0.0,143018.58000000002,0.0,1046806528,16777216,8388608,141376.32,13831878.34,79,2,16384,292,4000,0,0,1381.9,0,0.6,0,0,0,69093.14,690.98,69,2000,0,0.2,0,0.2,4836.82,0.9999586522280248,0.2,0.0,0,0,345.90000000000003,0,9,0,5182.32,0.0,0.0,0,0,345.52,345.52,4837.12,0.1,0.1,5182.34,,753,22.40923893845419,24058912768,0.1,0.1,0.1,0.1,,,,,7278462.92,7279546.689999999,6270.42,0.24,99.99600000004284,"[0.34405762 0.03270108 0.04753902 0.03270108 0.03270108 0.03270108
 0.03270108 0.04398559 0.03270108 0.03577431 0.03270108 0.29973589]",64-1000000-4-oltp_read_only-0.2,6,4
