tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu,Average Network Traffic Received (Eth0),Average Network Traffic Received (LO Interface),Average Network Traffic Sent (Eth0),Average Network Traffic Sent (LO Interface),"Average Disk IOPS (Read, VDA)","Average Disk IOPS (Write, Sr0)",Average Disk Busy (Sr0),Average Disk Busy (VDA)
341.65,4.60999999998603,55.15499999999156,0,0.0,1.3650000000006912,0.214999999999975,10.75,22.84499999999753,41.35818798265613,2587168768,6255517696,0,0,0.0003423057151123,,0,0,87.5667570617409,5472.62,65319,0,217,0,97.5800000000745,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,56.3,0,0.0,0.0,0,0.0,0.0,0,226.2,0.0,75775.92,0.0,0.0,141555.52,0.0,1070186496,16777216,8388608,139929.82,13689863.74,79,2,16384,414,4000,0,0,1367.74,0,0.6,0,0,0,68388.04000000001,683.9,112,2000,0,0.2,0,0.2,4787.34,0.9999582248921158,0.2,0.0,0,0,342.34000000000003,0,9,0,5129.26,0.0,0.0,0,0,341.94,341.94,4787.64,0.1,0.1,5129.28,,97,22.408216479572584,24057815040,,0.1,0.1,0.1,,,,,7195371.090000001,7196446.930000001,6228.68,0.12,99.98399999999674,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
341.57,6.234999999869615,53.38999999999578,0,0.0,1.3849999999995362,0.2199999999999704,10.549999999999272,22.845000000001164,41.46629248061519,2593931264,6255517696,0,0,0.0003414751756263,,0,0,87.58204610713403,5506.7,65293,0,243,0,96.3000000002794,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,8078.74,0,0.0,4039.18,0,115395.66,0.0,0,29338.08,0.0,28949.36,0.0,0.0,142459.04,0.0,1069760512,16777216,8388608,140801.6,13776888.26,79,2,16384,414,4000,0,0,1376.4,0,0.6,0,0,0,68819.98,688.22,112,2000,0,0.2,0,0.2,4817.06,0.999958482622902,0.2,0.0,0,0,344.52,0,9,0,5161.16,0.0,0.0,0,0,344.1,344.1,4817.36,0.1,0.1,5161.16,,100,22.40871626357816,24058351616,0.1,0.1,0.1,0.1,,,,,7225306.24,7226401.2,6250.56,0.24,99.98599999997532,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
341.1,4.209999999962747,55.844999999997526,0,0.0,1.3600000000003547,0.2299999999999613,10.49499999999898,22.950000000000728,41.4296901702826,2591641600,6255517696,0,0,0.0003406352355897,,0,0,87.77793297099166,5371.12,63955,0,1581,0,96.5800000000745,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,10743.44,0,0.0,5371.56,0,153473.78,0.0,0,38982.04,0.0,38485.4,0.0,0.0,138935.6,0.0,1047838720,16777216,8388608,137340.62,13436937.52,79,2,16384,294,4000,0,0,1342.42,0,0.62,0,0,0,67117.12,671.1800000000001,69,2000,0,0.2,0,0.2,4698.52,0.9999574352163992,0.2,0.0,0,0,336.02,0,9,0,5034.12,0.0,0.0,0,0,335.62,335.62,4698.84,0.1,,5034.14,,313,22.40850643059872,24058126336,0.1,0.1,0.1,0.1,,,,,7074951.37,7075330.68,6110.62,1.66,100.00400000001537,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
346.05,5.965000000083819,53.41999999999098,0,0.0,1.3899999999996453,0.1499999999999772,10.74499999999898,23.215000000000146,42.09841896353258,2633474048,6255517696,0,0,0.0003407412402665,,0,0,87.57485929000734,5521.62,65309,0,227,0,94.45999999996276,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,14013.48,0,0.0,7006.58,0,200187.06,0.0,0,50749.48,0.0,50148.76,0.0,0.0,142830.96,0.0,1070022656,16777216,8388608,141178.32,13813169.88,79,2,16384,398,4000,0,0,1380.06,0,0.62,0,0,0,69004.04000000001,690.0600000000001,112,2000,0,0.22,0,0.22,4830.14,0.9999544547404332,0.22,0.0,0,0,345.44,0,9,0,5175.16,0.0,0.0,0,0,345.02,345.02,4830.42,,0.12,5175.16,,95,22.40873152415848,24058368000,,,,,,,,,7264827.41,7265514.25,6319.38,2.1,99.99800000002142,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
339.24,5.015000000130385,54.54500000000553,0,0.0,1.309999999999491,0.2500000000000568,10.445000000001528,22.794999999998257,41.425172174910585,2591358976,6255517696,0,0,0.0003394864345618,,0,0,87.78225519783938,5505.02,63953,0,1583,0,95.73999999975786,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,16259.98,0,0.0,8129.76,0,232276.98,0.0,0,58896.4,0.0,58190.1,0.0,0.0,142402.94,0.0,1047805952,16777216,8388608,140752.14,13772334.92,79,2,16384,294,4000,0,0,1375.96,0,0.56,0,0,0,68798.16,688.0,69,2000,0,0.2,0,0.2,4815.68,0.9999584707260148,0.2,0.0,0,0,344.36,0,9,0,5159.68,0.0,0.0,0,0,343.98,343.98,4815.9400000000005,0.1,0.1,5159.66,,311,22.408914651122338,24058564608,0.1,0.1,0.1,0.1,,,,,7220483.83,7220436.38,6224.24,1.2,99.98599999997532,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
341.07,5.125000000116415,54.10000000000946,0,0.0,1.3949999999992997,0.2849999999999113,10.424999999999272,23.02500000000145,41.67228687830092,2606817280,6255517696,0,0,0.000338655716151,,0,0,87.77595614823473,5280.86,63982,0,1554,0,96.5399999995716,0,0,5.333333333333333,5,6,5,5,151,0,0.0,0,17702.600000000002,0,0.0,8851.12,0,252880.26,0.0,0,64077.22,0.0,63332.04,0.0,0.0,136603.08000000002,0.0,1048281088,16777216,8388608,135030.0,13210617.28,79,2,16384,293,4000,0,0,1319.94,0,0.6,0,0,0,65987.44,659.94,69,2000,0,0.2,0,0.2,4619.58,0.9999567078951812,0.2,0.0,0,0,330.36,0,9,0,4949.54,0.0,0.0,0,0,329.96,329.96,4619.88,0.1,0.1,4949.54,,313,22.409071072070653,24058732544,0.1,0.1,0.1,0.1,,,,,7135304.73,7136400.23,6158.72,0.4,100.00199999997858,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
343.14,5.964999999850988,53.63499999999476,0,0.0,1.440000000000509,0.1899999999999977,10.68499999999949,22.93999999999869,41.4292973011198,2591617024,6255517696,0,0,0.0003383136088444,,0,0,87.7995146409485,5517.26,65285,0,251,0,97.06000000005588,0,0,6.0,5,6,5,5,151,0,0.0,0,9986.52,0,0.0,4993.06,0,142660.68,0.0,0,36274.18,0.0,35791.94,0.0,0.0,142717.26,0.0,1069629440,16777216,8388608,141077.18,13802164.72,79,2,16384,398,4000,0,0,1378.96,0,0.68,0,0,0,68941.44,689.46,112,2000,0,0.22,0,0.22,4826.32,0.999954418693308,0.22,0.0,0,0,345.2,0,9,0,5171.08,0.0,0.0,0,0,344.72,344.72,4826.66,,0.12,5171.06,,101,22.40983791623185,24059555840,,,,,,,,,7250993.06,7252084.39,6281.76,0.12,99.99200000002747,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
341.87,5.5500000001629815,54.24499999999898,0,0.0,1.4049999999997451,0.1900000000000545,10.825000000000728,23.15000000000145,41.53026467595497,2597933056,6255517696,0,0,0.0003358992149415,,0,0,87.8151172392451,5591.42,63685,0,1851,0,95.57999999960884,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9849.1,0,0.0,4924.36,0,140686.08000000002,0.0,0,35724.36,0.0,35272.46,0.0,0.0,144633.14,0.0,1043415040,16777216,8388608,142966.48,13987902.3,79,2,16384,295,4000,0,0,1397.46,0,0.64,0,0,0,69871.52,698.74,69,2000,0,0.22,0,0.22,4891.18,0.9999550231017704,0.22,0.0,0,0,349.8,0,9,0,5240.56,0.0,0.0,0,0,349.38,349.38,4891.4800000000005,,0.12,5240.56,,538,22.411795085658216,24061657088,,,,,,,,,7360540.98,7361635.430000001,6342.9400000000005,1.48,99.99400000000604,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
340.48,3.810000000172295,55.27000000000408,0,0.0,1.464999999999918,0.2249999999999659,11.035000000001672,23.724999999998545,41.38110535048513,2588602368,6255517696,0,0,0.0003359768280842,,0,0,87.55587393786655,5468.2,65339,0,197,0,98.09999999962749,0,0,6.0,5,6,5,5,151,0,0.0,0,9730.18,0,0.0,4864.88,0,138979.52,0.0,0,35320.46,0.0,34859.32,0.0,0.0,141441.38,0.0,1070514176,16777216,8388608,139814.36000000002,13678943.98,79,2,16384,413,4000,0,0,1366.62,0,0.58,0,0,0,68333.24,683.36,112,2000,0,0.2,0,0.2,4783.5,0.9999581913581538,0.2,0.0,0,0,342.06,0,9,0,5125.18,0.0,0.0,0,0,341.68,341.68,4783.78,0.1,0.1,5125.18,,94,22.41194387631636,24061816832,0.1,0.1,,0.1,,,,,7186574.95,7187665.87,6218.92,0.18,99.99400000000604,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
341.89,4.675000000046566,54.87500000000364,0,0.0,1.2950000000005275,0.2800000000000295,10.294999999998254,21.88999999999941,41.426678173367925,2591453184,6255517696,0,0,0.0003339915640192,,0,0,87.56742709066049,5488.14,65321,0,215,0,96.0,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9767.5,0,0.0,4883.54,0,139524.12,0.0,0,35426.82,0.0,34977.8,0.0,0.0,141963.14,0.0,1070219264,16777216,8388608,140326.22,13729594.5,79,2,16384,414,4000,0,0,1371.66,0,0.64,0,0,0,68579.94,685.82,112,2000,0,0.22,0,0.22,4800.92,0.9999541775494986,0.22,0.0,0,0,343.34000000000003,0,9,0,5143.86,0.0,0.0,0,0,342.92,342.92,4801.22,,0.12,5143.84,,96,22.409284720195167,24058961920,,,,,,,,,7192045.24,7192005.32,6218.16,0.16,99.9979999999632,"[0.14491865 0.07783182 0.07817634 0.0769237  0.07780876 0.07775721
 0.07637346 0.07650164 0.07618356 0.07635447 0.07628009 0.08489032]",64-1000000-4-oltp_read_only-0.2,6,4,,,,,,,,
