id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time),MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record),MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Select),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Update),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Prepare),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Set Option),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,workload_label,num_cpu,mem_size,label
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,67.19,50.71250000083819,30.11749999999301,0,0.0,0.4449999999997089,0.294999999999618,5.489999999990687,9.047499999942374,19.17851025114426,2415857664,12596690944,0,0,5.3209480134e-06,,0,0,99.66028868727317,2009.7,65482,0,54,17210,57.62000000104308,0,0,6.0,5,6,5,9,151,0,7.0,0,197.46,0,0.0,36.92,0,24.4,0.0,0,251.52,7.28,28475.78,267.74,267.72,28381.28,401.64,1072857088,16777216,8388608,141383.28,2710882.52,79,2,16384,543,4000,0,0,267.76,0,0.62,0,0,0,13384.0,133.84,114,2000,0,0.2,0,0.0,1874.62,1.0,0.0,0,0,0,67.34,4,9,0,2945.38,2008.04,0.0,0,0,267.74,267.74,937.64,1941.34,401.62,796,40.60348651611366,43592544256,,,,,,,,,,1529896.05,1528672.8,2663.6,6308.04,100.00600000005215,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,73.85,48.94500000122934,31.369999999995343,0,0.0,0.4925000000030196,0.2624999999998181,5.822500000002037,9.172499999971478,19.32945173319321,2434871296,12596690944,0,0,5.3208835595e-06,,0,0,99.52476819878432,2216.82,65458,0,78,16997,59.67999999970197,0,0,5.833333333333333,5,6,5,9,151,0,0.0,0,55.120000000000005,0,0.0,0.0,0,0.0,0.0,0,200.76,0.0,74081.88,295.3,295.3,31312.4,443.14,1072463872,16777216,8388608,155955.5,2990749.08,79,2,16384,282,4000,0,0,295.44,0,0.6,0,0,0,14772.0,147.72,68,2000,0,0.2,0,0.2,2067.76,0.99990328633049,0.2,0,0,0,74.26,4,9,0,3249.2000000000003,2215.2000000000003,0.0,0,0,295.32,295.3,1034.28,2141.6,443.16,915,27.68435992338121,29722365952,,,,,,,,,,1683806.78,1682449.22,2743.6,6549.52,100.0,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
2,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,76.74,48.884999999310814,31.765000000013966,0,0.0,0.4600000000018553,0.2250000000001364,5.652500000025612,9.282500000001164,19.39308647691786,2442887168,12596690944,0,0,5.3208157693e-06,,0,0,99.38926816069085,2257.46,65450,1,85,16582,58.33999999985099,0,0,6.0,5,6,5,9,151,0,0.0,0,54.64,0,0.0,0.0,0,0.0,0.0,0,226.2,0.0,73277.74,300.8,300.8,31874.74,451.06,1072332800,16777216,8388608,158808.2,3044147.58,79,2,16384,282,4000,0,0,300.7,0,0.62,0,0,0,15034.0,150.34,68,2000,0,0.2,0,0.2,2105.56,0.9999050224147102,0.2,0,0,0,75.58,4,9,0,3308.66,2255.8,0.0,0,0,300.78000000000003,300.8,1053.24,2180.76,451.04,1035,27.66586791517544,29702512640,,,,,,,,,,1726735.54,1725417.59,2749.16,6330.58,99.9640000006184,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
3,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,82.57,48.72250000061468,31.199999999982545,0,0.0,0.4699999999993453,0.2225000000003092,5.882499999992434,9.662500000005824,18.59188050585232,2341961728,12596690944,0,0,5.3207370616e-06,,0,0,99.25210342752628,2478.9,65428,11,97,16354,57.74000000208616,0,0,5.833333333333333,5,6,5,9,151,0,0.0,0,56.56,0,0.0,0.0,0,0.0,0.0,0,251.4,0.0,75737.02,330.32,330.32,35019.28,495.36,1071972352,16777216,8388608,174395.92,3343575.76,79,2,16384,282,4000,0,0,330.40000000000003,0,0.6,0,0,0,16519.28,165.20000000000002,68,2000,0,0.18,0,0.18,2312.36,0.9999221635085233,0.18,0,0,0,83.02,4,9,0,3633.52,2477.16,0.0,0,0,330.3,330.32,1156.68,2394.94,495.4,1155,27.684363738526287,29722370048,,,,,,,,,,1893910.4000000004,1892500.3300000003,2949.3400000000006,6645.740000000002,100.00800000038,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
4,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,84.02,49.35499999951571,30.397499999962747,0,0.0,0.4849999999978536,0.290000000000191,5.892500000009022,9.554999999993017,18.592595868326484,2342051840,12596690944,0,0,5.3206620442e-06,,0,0,99.11716469671676,2532.1,65427,0,109,15942,56.06000000238418,0,0,6.0,5,6,5,9,151,0,97.48,0,1350.72,0,0.0,562.44,0,8584.17319,0.0,0,2542.32,135.9,8886.960000000001,337.5,337.48,35767.46,506.38,1071955968,16777216,8388608,178188.38,3415338.92,79,2,16384,283,4000,0,0,337.44,0,0.6,0,0,0,16873.1,168.74,68,2000,0,0.2,0,0.2,2362.06,0.9999153353144872,0.2,0,0,0,84.78,4,9,0,3712.08,2531.44,0.0,0,0,337.52,337.5,1180.96,2446.42,506.38,1276,27.684241653883703,29722238976,,,,,,,,,,1921871.01,1920455.05,2952.52,6504.900000000001,100.00999999977648,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
5,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,86.21,48.97999999998137,30.612500000017462,0,0.0,0.4650000000010549,0.2375000000004093,6.009999999994761,9.77999999995518,18.665075093549905,2351181824,12596690944,0,0,5.3205869378e-06,,0,0,98.98896155925048,2563.18,65413,0,123,15892,57.45999999716878,0,0,5.833333333333333,5,6,5,9,151,0,167.04,0,2348.98,0,0.02,1007.28,0,16707.62,0.0,0,4446.0,250.62,4458.34,341.68,341.68,36197.32,512.36,1071726592,16777216,8388608,180356.88,3456499.2,79,2,16384,283,4000,0,0,341.48,0,0.58,0,0,0,17076.0,170.76,68,2000,0,0.2,0,0.2,2390.98,0.9999163592870466,0.2,0,0,0,85.78,4,9,0,3757.56,2562.36,0.0,0,0,341.66,341.68,1195.52,2476.4,512.4,1396,27.68433703251072,29722341376,,,,,,,,,,1965273.49,1963864.2899999998,2993.74,6560.8,100.00600000005215,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
6,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,89.42,48.68250000057742,30.49499999996624,0,0.0,0.4824999999982537,0.2525000000002819,6.14250000003085,10.047499999942374,18.698567063931293,2355400704,12596690944,0,0,5.3205070702e-06,,0,0,98.85806842296422,2670.1,65409,0,127,15685,56.62000000104308,0,0,6.0,5,6,5,9,151,0,182.36,0,2562.96,0,0.02,1098.92,0,18228.0,0.0,0,4830.04,273.52,4853.86,355.8,355.84000000000003,37712.54,533.6,1071661056,16777216,8388608,187858.62,3601337.48,79,2,16384,282,4000,0,0,355.82,0,0.68,0,0,0,17789.8,177.9,68,2000,0,0.22,0,0.22,2490.74,0.9999116806371842,0.22,0,0,0,89.4,4,9,0,3913.96,2668.56,0.0,0,0,355.82,355.84000000000003,1245.78,2579.7000000000003,533.64,1516,27.68433703251072,29722341376,,,,,,,,,,2038526.16,2037120.53,3084.6800000000003,6685.9800000000005,99.99400000087915,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
7,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,88.01,48.51750000007451,30.57999999998719,0,0.0,0.4824999999991632,0.3149999999998272,6.047500000029686,10.092499999998836,18.718467147303546,2357907456,12596690944,0,0,5.3204272201e-06,,0,0,98.73284963462952,2629.5,65405,0,131,15394,57.21999999880792,0,0,6.0,5,6,5,9,151,0,183.6,0,2580.34,0,0.02,1106.38,0,18352.0,0.0,0,4834.66,275.44,4872.16,350.32,350.32,37142.0,525.46,1071595520,16777216,8388608,184975.02,3546312.3200000003,79,2,16384,283,4000,0,0,350.40000000000003,0,0.62,0,0,0,17517.66,175.18,68,2000,0,0.2,0,0.2,2452.84,0.9999184685125396,0.2,0,0,0,88.02,4,9,0,3854.16,2627.4,0.0,0,0,350.32,350.32,1227.04,2540.42,525.48,1636,27.668469844120423,29705306112,,,,,,,,,,2012585.0799999998,2010784.1199999999,3050.64,6484.54,100.0,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,91.24,48.89749999996275,30.51249999995344,0,0.0,0.4800000000013824,0.2074999999990723,6.12999999999738,10.139999999955762,18.70985028113745,2356822016,12596690944,0,0,5.3203468751e-06,,0,0,98.61161441736176,2737.46,65394,0,142,15417,57.33999999985099,0,0,5.666666666666667,5,6,5,9,151,0,190.68,0,2680.48,0,0.02,1149.36,0,19067.86,0.0,0,5066.18,286.08,5083.54,364.82,364.8,38667.22,547.1,1071415296,16777216,8388608,192592.16,3691928.28,79,2,16384,281,4000,0,0,364.8,0,0.6,0,0,0,18238.46,182.4,68,2000,0,0.2,0,0.2,2553.62,0.9999216859449768,0.2,0,0,0,91.6,4,9,0,4012.74,2735.88,0.0,0,0,364.8,364.82,1277.16,2644.82,547.14,1755,27.68434466280089,29722349568,,,,,,,,,,2095771.32,2094403.3800000001,3136.9,6649.02,100.00999999977648,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
9,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,92.17,49.27749999938533,29.69750000006752,0,0.0,0.4874999999974534,0.3125,6.139999999999418,10.035000000061698,18.680650485601063,2353143808,12596690944,0,0,5.3202645865e-06,,0,0,98.4825607149713,2784.3,65390,0,146,15428,56.98000000044703,0,0,5.833333333333333,5,6,5,9,151,0,204.6,0,2876.08,0,0.02,1233.24,0,20466.0,0.0,0,5393.62,306.96,5434.1,371.04,371.04,39334.34,556.58,1071349760,16777216,8388608,195902.02,3755965.76,79,2,16384,282,4000,0,0,371.08,0,0.62,0,0,0,18556.0,185.56,68,2000,0,0.2,0,0.2,2597.38,0.9999230052587408,0.2,0,0,0,93.22,4,9,0,4081.64,2782.96,0.0,0,0,371.06,371.06,1298.98,2690.14,556.6,1886,27.684375183961528,29722382336,,,,,,,,,,2106973.25,2105558.97,3140.08,6657.78,99.99199999962002,64-1000000-4-oltp_read_write_50-0.2,8,12,"[0.20933737 0.05973367 0.07598344 0.06468049 0.05991961 0.06097513
 0.06463612 0.13240452 0.08576579 0.05954774 0.06667626 0.06033985]"
