id,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Set Option),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu
1,375.21,68.76833333342802,19.00666666666621,0,0.0,0.3849999999999719,0.0083333333333399,3.203333333333376,7.694999999998497,21.098952306360005,3549671424,16823922688,0,0,1.35901509407e-05,,0,0,88.31865352297763,5810.82,130672,0,400,0,52.62000000011176,0,0,6.0,5,6,5,5,151,0,0.0,0,0.4,0,0.0,0.0,0,0.0,0.0,0,226.32,0.0,113.4,0.0,0.0,150315.2,0.0,2140930048,16777216,8388608,148569.52,14536383.22,79,2,16384,413,4000,0,0,1452.44,0,0.52,0,0,0,72618.52,726.22,112,2000,0,0.18,0,0.18,5083.400000000001,0.9999645918820989,0.18,0.0,0,0,363.44,0,9,0,5446.52,0.0,0.0,0,0,363.1,363.1,5083.66,,5446.5,,94,21.19762897889588,22758109184,0.1,0.1,,,,,,,,7727620.9,7726267.47,6116.0,0.18,99.99599999998463,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
2,425.96,66.79666666659371,19.261666666669043,0,0.0,0.4200000000000538,0.0133333333333306,3.599999999999303,8.795000000000073,27.98339972970756,4707905536,16823922688,0,0,1.35763731437e-05,,0,0,88.95890516145907,6865.7,195788,0,820,0,64.97999999998137,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,57.54,0,0.0,0.0,0,0.0,0.0,0,226.2,0.0,76770.2,0.0,0.0,177597.5,0.0,3207790592,16777216,8388608,175544.56,17174673.28,79,2,16384,414,4000,0,0,1716.0,0,0.66,0,0,0,85795.3,858.0,112,2000,0,0.22,0,0.22,6006.22,0.9999633726466924,0.22,0.0,0,0,429.44,0,9,0,6435.2,0.0,0.0,0,0,429.0,429.0,6006.54,0.12,6435.22,,99,21.19767857578192,22758162432,,,,,,,,,,9060153.3,9058785.3,6489.34,1.12,99.99599999998463,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
3,463.69,66.5349999999938,18.728333333336803,0,0.0,0.4483333333332855,0.0133333333333306,3.7783333333338,9.581666666668143,34.9133503578782,5873795072,16823922688,0,0,1.35620568087e-05,,0,0,89.42212777847072,7432.56,261189,0,955,0,47.56000000005588,0,0,6.0,5,6,5,5,151,0,0.0,0,57.68,0,0.0,0.0,0,0.0,0.0,0,200.64,0.0,76176.18000000001,0.0,0.0,192278.52,0.0,4279320576,16777216,8388608,190032.06,18594346.18,79,2,16384,414,4000,0,0,1857.82,0,0.64,0,0,0,92892.26,928.96,112,2000,0,0.22,0,0.22,6502.22,0.9999661665467116,0.22,0.0,0,0,464.88,0,9,0,6966.72,0.0,0.0,0,0,464.48,464.48,6502.52,0.12,6966.7,,94,21.19814402348176,22758662144,,,,,,,,,,9762167.32,9760795.85,6313.9800000000005,1.1,100.0020000000368,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
4,536.42,66.76499999997516,16.991666666668003,0,0.0,0.5250000000000531,0.0133333333333306,4.030000000000352,11.026666666667248,48.66198909627324,8186855424,16823922688,0,0,1.35456066887e-05,,0,0,90.58194101873195,8686.54,391574,0,1642,0,49.15999999968334,0,0,6.0,5,6,5,5,151,0,0.0,0,57.72,0,0.0,0.0,0,0.0,0.0,0,251.52,0.0,77273.02,0.0,0.0,224722.8,0.0,6415548416,16777216,8388608,222088.44,21731182.72,79,2,16384,414,4000,0,0,2171.28,0,0.66,0,0,0,108563.52,1085.66,112,2000,0,0.22,0,0.22,7599.42,0.9999710512603228,0.22,0.0,0,0,543.26,0,9,0,8142.24,0.0,0.0,0,0,542.82,542.82,7599.74,0.12,8142.24,,99,21.198239402108776,22758764544,,,,,,,,,,11456813.95,11455439.95,5791.7,1.14,100.0,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
5,623.87,66.641666666721,15.68500000000131,0,0.0,0.5850000000000932,0.0116666666666655,4.316666666666607,12.05333333333571,62.46835287406666,10509627392,16823922688,0,0,1.35281642196e-05,,0,0,91.05893513402007,9643.76,522561,0,1727,0,58.43999999994411,0,0,6.0,5,6,5,5,151,0,0.0,0,57.52,0,0.0,0.0,0,0.0,0.0,0,226.32,0.0,78433.38,0.0,0.0,249476.78,0.0,8561639424,16777216,8388608,246555.98,24124128.78,79,2,16384,413,4000,0,0,2410.5,0,0.62,0,0,0,120525.74,1205.28,112,2000,0,0.2,0,0.2,8436.98,0.9999762953972772,0.2,0.0,0,0,603.0600000000001,0,9,0,9039.62,0.0,0.0,0,0,602.6800000000001,602.66,8437.3,0.1,9039.64,,94,21.198556059150462,22759104512,0.1,0.1,,0.1,,0.1,,,,12894948.51,12893576.13,5313.9800000000005,2.9,99.98800000001212,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
6,677.26,66.8033333333054,14.683333333330667,0,0.0,0.6166666666666931,0.0250000000000009,4.413333333332654,12.68666666666771,69.26001660903495,11652251648,16823922688,0,0,1.35076074612e-05,,0,0,91.37534820316746,10273.5,587552,0,2272,0,60.859999999869615,0,0,6.0,5,6,5,5,151,0,0.0,0,8285.4,0,0.0,4142.52,0,118342.16,0.0,0,30086.74,0.0,29690.64,0.0,0.0,265782.28,0.0,9626451968,16777216,8388608,262656.04,25699909.4,79,2,16384,413,4000,0,0,2568.06,0,0.62,0,0,0,128400.44,1284.06,112,2000,0,0.2,0,0.2,8988.04,0.9999777487027492,0.2,0.0,0,0,642.44,0,9,0,9630.1,0.0,0.0,0,0,642.02,642.02,8988.36,0.1,9630.08,,98,21.19937250019772,22759981056,,0.1,,,0.1,0.1,,,,13790749.74,13789384.73,4933.72,0.18,100.0,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
7,873.51,65.86499999995188,15.37000000000201,0,0.0,0.6283333333334061,0.0100000000000027,4.566666666666303,12.801666666665673,75.13346024239647,12640395264,16823922688,0,0,1.34867959983e-05,,0,0,91.76312688285762,11098.46,658871,124257,3304,0,55.06000000005589,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9418.96,0,0.0,4709.24,0,134549.2,0.0,0,34198.68,0.0,33749.4,0.0,0.0,287121.24,0.0,10794942464,16777216,8388608,283739.44,27763007.12,79,2,16384,413,4000,0,0,2774.2200000000003,0,0.6,0,0,0,138703.58000000002,1387.12,112,2000,0,0.2,0,0.2,9709.9,0.9999794028897744,0.2,0.0,0,0,693.94,0,9,0,10403.46,0.0,0.0,0,0,693.5600000000001,693.5600000000001,9710.2,0.1,10403.46,,102,21.199475509114897,22760091648,0.1,0.1,,,0.1,,,,,13799331.19,13798089.73,5286.58,2.16,100.0020000000368,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
8,381.32,66.90166666673029,20.258333333334427,0,0.0,0.3716666666667454,0.0183333333333356,3.420000000000376,7.941666666667516,14.13080235857062,2377355264,16823922688,0,0,1.34625169386e-05,,0,0,87.78818952160411,6054.78,65242,0,294,0,53.79999999981373,0,0,6.0,5,6,5,5,151,0,0.0,0,10992.42,0,0.0,5495.9400000000005,0,157015.26,0.0,0,39891.88,0.0,39373.78,0.0,0.0,156612.38,0.0,1068924928,16777216,8388608,154809.82,15145762.48,79,2,16384,413,4000,0,0,1513.22,0,0.6,0,0,0,75660.7,756.62,112,2000,0,0.2,0,0.2,5296.78,0.9999622426363702,0.2,0.0,0,0,378.72,0,9,0,5675.06,0.0,0.0,0,0,378.32,378.32,5297.08,,5675.08,,101,21.197926560212167,22758428672,0.1,0.1,,0.1,,0.1,,,,7865841.75,7864476.75,6809.82,0.3,100.00800000003072,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
9,380.92,66.64666666676446,20.15500000000247,0,0.0,0.3549999999999613,0.0100000000000003,3.4783333333334663,8.163333333332654,14.201771776472867,2389295104,16823922688,0,0,1.34495467412e-05,,0,0,87.55961228414814,6108.2,65290,0,246,0,55.799999999813735,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,12156.28,0,0.0,6077.92,0,173659.52,0.0,0,44071.58,0.0,43524.54,0.0,0.0,158008.38,0.0,1069711360,16777216,8388608,156176.0,15279899.46,79,2,16384,398,4000,0,0,1526.7,0,0.56,0,0,0,76332.1,763.34,112,2000,0,0.18,0,0.18,5343.46,0.9999663150960768,0.18,0.0,0,0,382.06,0,9,0,5725.12,0.0,0.0,0,0,381.68,381.66,5343.76,,5725.12,,94,21.198403453347247,22758940672,0.1,0.1,,0.1,0.1,0.1,,,,8047722.54,8046484.640000001,6962.76,2.02,99.98399999999674,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
10,379.45,66.98166666653317,19.96166666666856,0,0.0,0.3783333333333303,0.0133333333333283,3.4016666666666424,7.995000000002618,14.155099950017076,2381443072,16823922688,0,0,1.34366664724e-05,,0,0,87.58287465281022,6106.04,65266,0,270,0,52.14000000013039,0,0,6.0,5,6,5,5,151,0,0.0,0,14211.08,0,0.0,7105.360000000001,0,202999.36,0.0,0,51458.380000000005,0.0,50850.66,0.0,0.0,157954.4,0.0,1069318144,16777216,8388608,156126.80000000002,15275183.1,79,2,16384,414,4000,0,0,1526.22,0,0.66,0,0,0,76310.12,763.14,112,2000,0,0.22,0,0.22,5341.52,0.9999588149179854,0.22,0.0,0,0,382.0,0,9,0,5723.12,0.0,0.0,0,0,381.54,381.54,5341.84,0.12,5723.08,,97,21.198208880948133,22758731776,,,,,,,,,,8033697.4,8032339.06,6944.0,0.18,100.00400000001537,"[0.73803091 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312
 0.0164312  0.0164312  0.0164312  0.0164312  0.0164312  0.09765712]",64-1000000-4-oltp_read_only-0.2,16,12
