innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,155.45,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,160.15,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,163.24,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,164.68,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,168.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,170.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,171.46,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,173.54,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,174.78,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,177.94,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,178.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,179.15,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,179.42,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,178.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,179.72,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.72,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,180.31,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.24,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,184.23,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.61,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.74,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.02,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.12,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.44,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.40,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,184.38,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.68,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.56,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.71,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,184.15,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.08,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,184.80,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.25,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.98,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.59,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.17,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.26,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.37,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.11,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.99,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.85,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.86,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.54,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.72,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.91,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.72,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.80,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.02,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.41,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.95,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.66,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.61,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.02,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.02,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.44,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.04,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.32,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.03,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.07,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.39,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.99,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.29,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.29,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.28,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.54,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.11,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,188.94,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.38,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,189.25,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.90,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,190.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,191.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,188.98,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.86,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,191.39,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.53,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,full,OFF,189.73,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.84,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
