workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,25120,125600,0,125600,5000,40,30,0.8,0
"a","Silo",1,1,true,25541,127707,0,127707,5000,40,30,0.8,0
"a","Silo",1,1,true,25844,129222,0,129222,5000,40,30,0.8,0
"a","Silo",1,2,true,45256,226284,31258,257542,5000,40,30,0.8,0
"a","Silo",1,2,true,43784,218921,29422,248343,5000,40,30,0.8,0
"a","Silo",1,2,true,44877,224389,30840,255229,5000,40,30,0.8,0
"a","Silo",1,3,true,42711,213557,57361,270918,5000,40,30,0.8,0
"a","Silo",1,3,true,43584,217923,58778,276701,5000,40,30,0.8,0
"a","Silo",1,3,true,43998,219990,58968,278958,5000,40,30,0.8,0
"a","Silo",1,4,true,40340,202632,79601,282233,5023,40,30,0.8,0
"a","Silo",1,4,true,39174,195873,76994,272867,5000,40,30,0.8,0
"a","Silo",1,4,true,38325,191626,73218,264844,5000,40,30,0.8,0
"a","Silo",1,1,true,25543,127715,0,127715,5000,40,30,0.8,1
"a","Silo",1,1,true,25759,128795,0,128795,5000,40,30,0.8,1
"a","Silo",1,1,true,25545,127727,0,127727,5000,40,30,0.8,1
"a","Silo",1,2,true,45110,225553,31315,256868,5000,40,30,0.8,1
"a","Silo",1,2,true,43545,217726,30346,248072,5000,40,30,0.8,1
"a","Silo",1,2,true,45417,227085,31797,258882,5000,40,30,0.8,1
"a","Silo",1,3,true,43642,218780,59156,277936,5013,40,30,0.8,1
"a","Silo",1,3,true,44808,224131,60133,284264,5002,40,30,0.8,1
"a","Silo",1,3,true,43917,220289,59812,280101,5016,40,30,0.8,1
"a","Silo",1,4,true,39261,196306,76751,273057,5000,40,30,0.8,1
"a","Silo",1,4,true,39517,197585,77224,274809,5000,40,30,0.8,1
"a","Silo",1,4,true,39353,196808,77551,274359,5001,40,30,0.8,1
"a","Silo",1,1,true,25546,127733,0,127733,5000,40,30,0.8,2
"a","Silo",1,1,true,25797,128986,0,128986,5000,40,30,0.8,2
"a","Silo",1,1,true,25952,129761,0,129761,5000,40,30,0.8,2
"a","Silo",1,2,true,44757,223786,30918,254704,5000,40,30,0.8,2
"a","Silo",1,2,true,45322,226610,31135,257745,5000,40,30,0.8,2
"a","Silo",1,2,true,43436,217182,30447,247629,5000,40,30,0.8,2
"a","Silo",1,3,true,43334,216976,57739,274715,5007,40,30,0.8,2
"a","Silo",1,3,true,42291,211459,57548,269007,5000,40,30,0.8,2
"a","Silo",1,3,true,42556,213376,57526,270902,5014,40,30,0.8,2
"a","Silo",1,4,true,38584,193576,74364,267940,5017,40,30,0.8,2
"a","Silo",1,4,true,38220,191101,74933,266034,5000,40,30,0.8,2
"a","Silo",1,4,true,38674,193487,74164,267651,5003,40,30,0.8,2
"a","Silo",1,1,true,25871,129356,0,129356,5000,40,30,0.8,3
"a","Silo",1,1,true,26120,130604,0,130604,5000,40,30,0.8,3
"a","Silo",1,1,true,25563,127817,0,127817,5000,40,30,0.8,3
"a","Silo",1,2,true,45110,225552,31089,256641,5000,40,30,0.8,3
"a","Silo",1,2,true,44787,223939,31042,254981,5000,40,30,0.8,3
"a","Silo",1,2,true,45249,226247,31206,257453,5000,40,30,0.8,3
"a","Silo",1,3,true,44375,221875,60547,282422,5000,40,30,0.8,3
