workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,6189,30952,0,30952,5001,40,30,0.8,0
"a","Silo",1,1,true,5943,29718,0,29718,5000,40,30,0.8,0
"a","Silo",1,1,true,6181,30908,0,30908,5000,40,30,0.8,0
"a","Silo",1,2,true,10717,53598,5811,59409,5001,40,30,0.8,0
"a","Silo",1,2,true,10832,54184,5862,60046,5002,40,30,0.8,0
"a","Silo",1,2,true,10837,54207,5975,60182,5002,40,30,0.8,0
"a","Silo",1,3,true,12993,65058,13900,78958,5007,40,30,0.8,0
"a","Silo",1,3,true,13052,65275,14010,79285,5001,40,30,0.8,0
"a","Silo",1,3,true,12979,64912,14104,79016,5001,40,30,0.8,0
"a","Silo",1,4,true,13392,66977,20530,87507,5001,40,30,0.8,0
"a","Silo",1,4,true,13481,67420,20533,87953,5001,40,30,0.8,0
"a","Silo",1,4,true,10362,60985,18413,79398,5885,40,30,0.8,0
"a","Silo",1,1,true,4991,30327,0,30327,6076,40,30,0.8,1
"a","Silo",1,1,true,6233,31166,0,31166,5000,40,30,0.8,1
"a","Silo",1,1,true,6236,31194,0,31194,5002,40,30,0.8,1
"a","Silo",1,2,true,8581,45845,5119,50964,5342,40,30,0.8,1
"a","Silo",1,2,true,8354,47685,5298,52983,5708,40,30,0.8,1
"a","Silo",1,2,true,10797,54019,5851,59870,5003,40,30,0.8,1
"a","Silo",1,3,true,13029,65175,13949,79124,5002,40,30,0.8,1
"a","Silo",1,3,true,13063,65332,14001,79333,5001,40,30,0.8,1
"a","Silo",1,3,true,12903,64529,13729,78258,5001,40,30,0.8,1
"a","Silo",1,4,true,10370,57473,17331,74804,5542,40,30,0.8,1
"a","Silo",1,4,true,13528,67668,20675,88343,5002,40,30,0.8,1
"a","Silo",1,4,true,13530,67664,20215,87879,5001,40,30,0.8,1
"a","Silo",1,1,true,4963,24821,0,24821,5001,40,30,0.8,2
"a","Silo",1,1,true,6180,30916,0,30916,5002,40,30,0.8,2
"a","Silo",1,1,true,6232,31218,0,31218,5009,40,30,0.8,2
"a","Silo",1,2,true,8517,48794,5365,54159,5729,40,30,0.8,2
"a","Silo",1,2,true,8548,50323,5555,55878,5887,40,30,0.8,2
"a","Silo",1,2,true,8527,43549,4773,48322,5107,40,30,0.8,2
"a","Silo",1,3,true,9988,55214,11823,67037,5528,40,30,0.8,2
"a","Silo",1,3,true,13013,65096,13689,78785,5002,40,30,0.8,2
"a","Silo",1,3,true,12581,62921,13694,76615,5001,40,30,0.8,2
"a","Silo",1,4,true,13506,67654,20459,88113,5009,40,30,0.8,2
"a","Silo",1,4,true,10396,63520,19021,82541,6110,40,30,0.8,2
"a","Silo",1,4,true,13014,65140,19788,84928,5005,40,30,0.8,2
"a","Silo",1,1,true,6211,31077,0,31077,5003,40,30,0.8,3
"a","Silo",1,1,true,5071,25357,0,25357,5000,40,30,0.8,3
"a","Silo",1,1,true,6224,31124,0,31124,5000,40,30,0.8,3
"a","Silo",1,2,true,10797,54000,5938,59938,5001,40,30,0.8,3
"a","Silo",1,2,true,8567,45520,4954,50474,5313,40,30,0.8,3
"a","Silo",1,2,true,8553,46634,5153,51787,5452,40,30,0.8,3
"a","Silo",1,3,true,13209,66074,14077,80151,5002,40,30,0.8,3
"a","Silo",1,3,true,13037,65253,13775,79028,5005,40,30,0.8,3
"a","Silo",1,3,true,13043,65232,13933,79165,5001,40,30,0.8,3
"a","Silo",1,4,true,13432,67201,20375,87576,5003,40,30,0.8,3
"a","Silo",1,4,true,13560,67855,20420,88275,5004,40,30,0.8,3
"a","Silo",1,4,true,13346,66746,20345,87091,5001,40,30,0.8,3
"a","Silo",1,1,true,4888,24458,0,24458,5003,40,1,0.8,0
