workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,6187,30973,0,30973,5006,40,30,0.8,0
"a","Silo",1,1,true,4950,26808,0,26808,5415,40,30,0.8,0
"a","Silo",1,1,true,4964,29327,0,29327,5907,40,30,0.8,0
"a","Silo",1,2,true,8740,44325,4826,49151,5071,40,30,0.8,0
"a","Silo",1,2,true,10808,54073,6002,60075,5003,40,30,0.8,0
"a","Silo",1,2,true,8743,45168,4887,50055,5166,40,30,0.8,0
"a","Silo",1,3,true,14416,72096,15428,87524,5001,40,30,0.8,0
"a","Silo",1,3,true,14494,72485,15277,87762,5001,40,30,0.8,0
"a","Silo",1,3,true,11973,59893,12679,72572,5002,40,30,0.8,0
"a","Silo",1,4,true,16648,83309,25725,109034,5004,40,30,0.8,0
"a","Silo",1,4,true,17198,86095,25992,112087,5006,40,30,0.8,0
"a","Silo",1,4,true,14919,74610,22625,97235,5001,40,30,0.8,0
"a","Silo",1,5,true,19690,98569,38399,136968,5006,40,30,0.8,0
"a","Silo",1,5,true,19543,97739,37738,135477,5001,40,30,0.8,0
"a","Silo",1,5,true,19641,98207,37949,136156,5000,40,30,0.8,0
"a","Silo",1,6,true,17812,106946,49539,156485,6004,40,30,0.8,0
"a","Silo",1,6,true,21743,108719,50741,159460,5000,40,30,0.8,0
"a","Silo",1,6,true,21678,108434,50272,158706,5002,40,30,0.8,0
"a","Silo",1,7,true,23768,118864,63937,182801,5001,40,30,0.8,0
"a","Silo",1,7,true,23852,119262,63594,182856,5000,40,30,0.8,0
"a","Silo",1,7,true,19208,99233,52970,152203,5166,40,30,0.8,0
"a","Silo",1,8,true,25018,125119,74667,199786,5001,40,30,0.8,0
"a","Silo",1,8,true,25117,125663,74621,200284,5003,40,30,0.8,0
"a","Silo",1,8,true,20005,100086,59290,159376,5003,40,30,0.8,0
"a","Silo",1,1,true,4980,27028,0,27028,5427,40,30,0.8,1
"a","Silo",1,1,true,6185,30965,0,30965,5006,40,30,0.8,1
"a","Silo",1,1,true,6145,30727,0,30727,5000,40,30,0.8,1
"a","Silo",1,2,true,10780,53914,5973,59887,5001,40,30,0.8,1
"a","Silo",1,2,true,10786,53944,5823,59767,5001,40,30,0.8,1
"a","Silo",1,2,true,8762,51445,5684,57129,5871,40,30,0.8,1
"a","Silo",1,3,true,14464,72335,15256,87591,5001,40,30,0.8,1
"a","Silo",1,3,true,14481,72423,15460,87883,5001,40,30,0.8,1
"a","Silo",1,3,true,11924,59633,12658,72291,5001,40,30,0.8,1
