innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,130.11,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,144.13,oltp_read_write,64,5000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,140.98,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,141.35,oltp_read_write,64,5000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,142.98,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,143.4,oltp_read_write,64,5000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,149.83,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,147.16,oltp_read_write,64,5000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,162.97,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,153.78,oltp_read_write,64,5000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,162.98,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,170.25,oltp_read_write,64,5000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,150.47,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,180.96,oltp_read_write,64,5000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,182.39,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,171.18,oltp_read_write,64,5000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,163.93,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,181.21,oltp_read_write,64,5000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,181.72,oltp_read_write,64,5000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,168.71,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,168.89,oltp_read_write,64,5000000,4
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,178.89,oltp_read_write,64,5000000,4
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,176.44,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,183.42,oltp_read_write,64,5000000,4
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,193.45,oltp_read_write,64,5000000,4
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,190.97,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,191.19,oltp_read_write,64,5000000,4
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,196.39,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,191.95,oltp_read_write,64,5000000,4
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,204.61,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,202.45,oltp_read_write,64,5000000,4
2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,200.42,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,197.12,oltp_read_write,64,5000000,4
3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,193.71,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,198.75,oltp_read_write,64,5000000,4
4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,201.43,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,212.9,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.27,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,207.94,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,205.18,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,205.44,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,194.83,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,210.46,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,192.98,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,207.82,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,214.05,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,217.03,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,218.95,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,100,1,25,100,48MB,4000,201.32,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,208.87,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,209.44,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,215.51,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,100,1,25,100,48MB,4000,195.05,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,198.03,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,198.75,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,203.46,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,100,1,25,100,48MB,4000,198.51,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.07,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,205.44,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,198.07,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,210.66,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,219.45,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,213.94,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,220.59,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,211.16,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,211.1,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,209.38,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,220.88,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,196.05,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,204.53,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,202.59,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,221.59,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,198.67,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,205.15,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,218.22,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,212.86,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,192.15,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,216.56,oltp_read_write,64,5000000,4
