id,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache
1,349.77,88.05187500000464,7.081874999999684,0,0.0,0.1343750000000199,0.0343749999999953,1.1837500000001455,2.828124999999716,6.314392703787192,4265693184,67555082240,0,0,9.7205899932e-06,,0,0,88.31347030464998,5436.28,130679,0,393,0,31.87999999988824,0,0,6.0,5,6,5,5,151,0,0.0,0,9511.38,0,0,4755.52,0,135865.16,0.0,0,34507.2,0.0,34067.26,0.0,0.0,140620.66,0.0,2141044736,16777216,8388608,139006.82,13598771.94,79,2,16384,413,4000,0,0,1358.7,0,0.6,0,0,0,67932.92,679.36,112,2000,0,0.18,0,0.18,4755.5,0.9999621505231638,0.18,0.0,0,0,340.1,0,9,0,5095.2,0.0,0.0,0,0,0.1,339.68,339.68,4755.84,,5095.18,,97,21.14077568690447,22697070592,0.1,,,,,,,,7148971.07,7147465.84,5668.46,0.02,99.99400000006426,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
2,394.39,87.64937499999363,7.080624999999373,0,0.0,0.1506249999999678,0.0306249999999934,1.2706250000000807,3.1400000000005552,8.033843571855598,5427269632,67555082240,0,0,9.7114234011e-06,,0,0,88.82606759974401,6107.36,196027,0,581,0,31.939999999944124,0,0,6.0,5,6,5,5,151,0,0.0,0,10685.86,0,0,5342.72,0,152649.74,0.0,0,38741.36,0.0,38259.28,0.0,0.0,157991.48,0.0,3211706368,16777216,8388608,156152.26,15277989.28,79,2,16384,413,4000,0,0,1526.56,0,0.54,0,0,0,76320.18000000001,763.26,112,2000,0,0.18,0,0.18,5342.74,0.999966310556774,0.18,0.0,0,0,381.96,0,9,0,5724.38,0.0,0.0,0,0,,381.62,381.62,5343.02,,5724.36,,92,21.140886326111808,22697189376,,0.1,0.1,,,,,,8038334.24,8036828.78,5774.34,1.48,100.0,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
3,432.59,87.3500000000349,6.895624999999939,0,0.0,0.1649999999999672,0.0281249999999939,1.388749999999902,3.483124999998267,9.755822794480553,6590554112,67555082240,0,0,9.7007768811e-06,,0,0,89.41982789991935,6947.64,261199,0,945,0,56.45999999996274,0,0,6.0,5,6,5,5,151,0,0.0,0,12156.4,0,0,6077.96,0,173651.6,0.0,0,44073.68,0.0,43526.66,0.0,0.0,179729.48,0.0,4279484416,16777216,8388608,177632.82,17380787.26,79,2,16384,414,4000,0,0,1736.56,0,0.58,0,0,0,86827.46,868.28,112,2000,0,0.2,0,0.2,6078.0,0.9999670955217004,0.2,0.0,0,0,434.52,0,9,0,6512.14,0.0,0.0,0,0,,434.14,434.14,6078.28,,6512.14,,99,21.14129073149036,22697623552,0.1,,0.1,0.1,,,,,9148013.29,9146508.38,5905.0,1.38,100.01000000000931,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
4,502.27,87.46499999998197,6.263750000000584,0,0.0,0.196874999999995,0.0418749999999938,1.4643749999999611,3.90062500000073,13.179748425690022,8903589888,67555082240,0,0,9.689791541e-06,,0,0,90.30490541043449,8008.860000000001,392076,0,1140,0,44.979999999981366,0,0,6.0,5,6,5,5,151,0,0.0,0,14013.48,0,0,7006.58,0,200187.06,0.0,0,50749.48,0.0,50148.76,0.0,0.0,207193.48,0.0,6423773184,16777216,8388608,204766.84,20035016.24,79,2,16384,413,4000,0,0,2001.96,0,0.58,0,0,0,100090.14,1000.96,112,2000,0,0.18,0,0.18,7006.56,0.9999743104496528,0.18,0.0,0,0,500.88,0,9,0,7507.02,0.0,0.0,0,0,0.1,500.48,500.48,7006.88,,7507.04,,93,21.141302176925603,22697635840,0.1,0.1,,0.1,,,,,10585870.67,10584365.45,5455.2,0.08,99.99199999996928,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
5,576.73,87.46187499999361,5.84687499999967,0,0.0,0.2143750000000057,0.0306250000000058,1.552499999999981,4.263124999998922,16.63637895972458,11238719488,67555082240,0,0,9.6770145313e-06,,0,0,90.8916990855494,8796.94,522725,0,1563,0,38.200000000186265,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,15392.62,0,0,7696.12,0,219885.78,0.0,0,55750.54,0.0,55087.84,0.0,0.0,227581.8,0.0,8564326400,16777216,8388608,224915.72,22007001.06,79,2,16384,413,4000,0,0,2198.92,0,0.64,0,0,0,109944.7,1099.48,112,2000,0,0.2,0,0.2,7696.1,0.9999740134870004,0.2,0.0,0,0,550.2,0,9,0,8245.86,0.0,0.0,0,0,0.1,549.72,549.74,7696.44,0.1,8245.84,,98,21.141992718185183,22698377216,0.1,0.1,,,,,,,11794795.77,11793419.33,4958.72,4.04,99.99599999992644,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
6,616.23,87.21437499999591,5.990000000000292,0,0.0,0.2162500000000076,0.0281250000000063,1.6012500000000216,4.32687500000003,18.32265805853899,12377886720,67555082240,0,0,9.663357961e-06,,0,0,91.25763065443142,9561.56,587628,0,2196,0,29.23999999975786,0,0,6.0,5,6,5,5,151,0,0.0,0,16730.600000000002,0,0,8365.160000000002,0,239003.04000000004,0.0,0,60576.640000000014,0.0,59866.20000000001,0.0,0.0,247367.98000000004,0.0,9627697152,16777216,8388608,244452.76000000004,23919281.500000004,79,2,16384,413,4000,0,0,2390.1000000000004,0,0.6000000000000001,0,0,0,119505.44000000002,1195.0800000000002,112,2000,0,0.2,0,0.2,8365.100000000002,0.999976091712192,0.2,0.0,0,0,597.9400000000002,0,9,0,8962.620000000003,0.0,0.0,0,0,0.1,597.5200000000001,597.5200000000001,8365.400000000001,0.1,8962.620000000003,,102,21.141988903040108,22698373120,0.1,0.1,,,,,,,12188001.17,12186496.75,5097.04,0.3,99.99200000008568,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
7,798.29,87.2262499999924,5.878750000000082,0,0.0,0.2262500000000163,0.0468749999999982,1.608749999999901,4.39875000000137,19.354069074403952,13074657280,67555082240,0,0,9.6484139884e-06,,0,0,90.81945022827853,9292.56,604223,180304,1905,0,46.13999999966472,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,16259.98,0,0,8129.76,0,232276.98,0.0,0,58896.4,0.0,58190.1,0.0,0.0,240407.32,0.0,9899589632,16777216,8388608,237581.42,23246662.56,79,2,16384,414,4000,0,0,2322.86,0,0.66,0,0,0,116134.06,1161.42,112,2000,0,0.22,0,0.22,8129.76,0.9999729396628282,0.22,0.0,0,0,581.14,0,9,0,8710.44,0.0,0.0,0,0,,580.7,580.6800000000001,8130.08,0.12,8710.44,,96,21.14265655342922,22699089920,,,,,,,,,12396947.89,12395568.63,4933.32,3.6,99.954000000027,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
8,877.08,86.66999999999825,6.033124999999642,0,0.0,0.2381249999999983,0.0456249999999975,1.7050000000000127,4.623750000000485,20.585777914671368,13906739200,67555082240,0,0,9.6296098437e-06,,0,0,90.74363036443366,9677.04,631035,415385,2156,0,36.87999999988824,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,16932.84,0,0,8466.22,0,241879.68,0.0,0,61299.86,0.0,60582.7,0.0,0.0,250346.64,0.0,10338877440,16777216,8388608,247406.16,24207375.16,79,2,16384,413,4000,0,0,2418.92,0,0.6,0,0,0,120938.34,1209.42,112,2000,0,0.2,0,0.2,8466.24,0.9999763773203376,0.2,0.0,0,0,605.12,0,9,0,9070.9,0.0,0.0,0,0,0.1,604.7,604.7,8466.54,,9070.94,,97,21.14266799886446,22699102208,,0.1,0.1,0.1,,,,,13025370.99,13023862.36,5314.26,1.18,99.98200000007635,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
9,892.86,86.37500000004366,6.238749999999753,0,0.0,0.2443750000000051,0.0337499999999941,1.7150000000000036,4.785000000000364,21.361685666715573,14430904320,67555082240,0,0,9.6091647824e-06,,0,0,90.95129302199707,10116.96,654474,522675,2499,0,43.66000000014901,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,17702.600000000002,0,0,8851.12,0,252880.26,0.0,0,64077.22,0.0,63332.04,0.0,0.0,261731.2,0.0,10722902016,16777216,8388608,258659.42,25308186.46,79,2,16384,413,4000,0,0,2528.94,0,0.64,0,0,0,126439.92,1264.48,112,2000,0,0.2,0,0.2,8851.08,0.999977404398008,0.2,0.0,0,0,632.6800000000001,0,9,0,9483.36,0.0,0.0,0,0,0.1,632.24,632.24,8851.42,0.1,9483.34,,99,21.1431525222897,22699622400,0.1,0.1,0.1,0.1,,,,,13465239.06,13463859.39,5246.74,3.02,99.9660000000149,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
10,894.57,85.98750000003199,6.75375000000042,0,0.0,0.2324999999999644,0.0474999999999941,1.7024999999999295,4.523750000000121,21.40310338848016,14458884096,67555082240,0,0,9.5894430415e-06,,0,0,91.06770359026336,10240.04,659851,910226,2787,0,39.6999999997206,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,17918.08,0,0,8958.84,0,255957.8,0.0,0,64879.44,0.0,64113.96,0.0,0.0,264916.52,0.0,10810998784,16777216,8388608,261798.86,25616823.44,79,2,16384,414,4000,0,0,2559.64,0,0.64,0,0,0,127980.02,1279.82,112,2000,0,0.22,0,0.22,8958.84,0.9999754438523684,0.22,0.0,0,0,640.32,0,9,0,9598.74,0.0,0.0,0,0,,639.92,639.92,8959.14,0.12,9598.76,,102,21.14302280735696,22699483136,,,,,,,,,12545966.02,12544460.12,5939.400000000001,1.08,99.98399999993852,"[0.79299961 0.01287479 0.01908669 0.00993614 0.00958699 0.00958699
 0.01054714 0.01288934 0.01111451 0.010809   0.00958699 0.09098183]",64-1000000-4-oltp_read_only-0.2,64,32,24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
