id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,268.41,64-1000000-4-oltp_read_only-0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,343.58,64-1000000-4-oltp_read_only-0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,379.78,64-1000000-4-oltp_read_only-0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,410.89,64-1000000-4-oltp_read_only-0.2
4,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,343.69,64-1000000-4-oltp_read_only-0.2
5,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.65,64-1000000-4-oltp_read_only-0.2
6,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,336.15,64-1000000-4-oltp_read_only-0.2
7,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.57,64-1000000-4-oltp_read_only-0.2
8,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,342.09,64-1000000-4-oltp_read_only-0.2
9,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.1,64-1000000-4-oltp_read_only-0.2
10,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,340.95,64-1000000-4-oltp_read_only-0.2
11,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,346.05,64-1000000-4-oltp_read_only-0.2
12,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,343.52,64-1000000-4-oltp_read_only-0.2
13,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,341.52,64-1000000-4-oltp_read_only-0.2
14,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,339.24,64-1000000-4-oltp_read_only-0.2
15,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,342.42,64-1000000-4-oltp_read_only-0.2
16,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.07,64-1000000-4-oltp_read_only-0.2
17,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,341.1,64-1000000-4-oltp_read_only-0.2
18,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,344.93,64-1000000-4-oltp_read_only-0.2
19,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,343.14,64-1000000-4-oltp_read_only-0.2
20,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,336.89,64-1000000-4-oltp_read_only-0.2
21,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,338.29,64-1000000-4-oltp_read_only-0.2
22,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,343.39,64-1000000-4-oltp_read_only-0.2
23,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,342.48,64-1000000-4-oltp_read_only-0.2
24,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,341.04,64-1000000-4-oltp_read_only-0.2
25,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.87,64-1000000-4-oltp_read_only-0.2
26,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,343.73,64-1000000-4-oltp_read_only-0.2
27,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,340.48,64-1000000-4-oltp_read_only-0.2
28,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,338.6,64-1000000-4-oltp_read_only-0.2
29,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,342.5,64-1000000-4-oltp_read_only-0.2
30,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,344.17,64-1000000-4-oltp_read_only-0.2
31,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,342.75,64-1000000-4-oltp_read_only-0.2
32,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.89,64-1000000-4-oltp_read_only-0.2
33,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,340.75,64-1000000-4-oltp_read_only-0.2
34,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,344.34,64-1000000-4-oltp_read_only-0.2
35,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,283.63,64-1000000-4-oltp_read_only-0.2
36,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,339.82,64-1000000-4-oltp_read_only-0.2
37,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,340.88,64-1000000-4-oltp_read_only-0.2
38,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,341.75,64-1000000-4-oltp_read_only-0.2
39,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,399.09,64-1000000-4-oltp_read_only-0.6
40,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,438.25,64-1000000-4-oltp_read_only-0.6
41,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,474.68,64-1000000-4-oltp_read_only-0.6
42,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,513.05,64-1000000-4-oltp_read_only-0.6
43,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,397.8,64-1000000-4-oltp_read_only-0.6
44,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,388.68,64-1000000-4-oltp_read_only-0.6
45,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,394.57,64-1000000-4-oltp_read_only-0.6
46,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,400.31,64-1000000-4-oltp_read_only-0.6
47,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,398.06,64-1000000-4-oltp_read_only-0.6
48,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,404.23,64-1000000-4-oltp_read_only-0.6
49,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,402.96,64-1000000-4-oltp_read_only-0.6
50,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,397.46,64-1000000-4-oltp_read_only-0.6
51,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,404.54,64-1000000-4-oltp_read_only-0.6
52,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,393.28,64-1000000-4-oltp_read_only-0.6
53,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,401.94,64-1000000-4-oltp_read_only-0.6
54,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,399.36,64-1000000-4-oltp_read_only-0.6
55,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,403.2,64-1000000-4-oltp_read_only-0.6
56,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,404.04,64-1000000-4-oltp_read_only-0.6
57,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,408.2,64-1000000-4-oltp_read_only-0.6
58,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,400.22,64-1000000-4-oltp_read_only-0.6
59,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,399.49,64-1000000-4-oltp_read_only-0.6
