innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,176.89,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,193.19,oltp_read_write,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,203.41,oltp_read_write,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,218.54,oltp_read_write,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,220.83,oltp_read_write,64,1000000,4
1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,231.78,oltp_read_write,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,232.35,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,232.95,oltp_read_write,64,1000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,236.75,oltp_read_write,64,1000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,239.37,oltp_read_write,64,1000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,238.81,oltp_read_write,64,1000000,4
2GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,234.25,oltp_read_write,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,234.31,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,229.54,oltp_read_write,64,1000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,225.45,oltp_read_write,64,1000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,220.66,oltp_read_write,64,1000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,234.07,oltp_read_write,64,1000000,4
3GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,234.68,oltp_read_write,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,253.95,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,236.63,oltp_read_write,64,1000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,251.79,oltp_read_write,64,1000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,248.05,oltp_read_write,64,1000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,240.27,oltp_read_write,64,1000000,4
4GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,254.01,oltp_read_write,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,210.73,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,246.15,oltp_read_write,64,1000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,263.41,oltp_read_write,64,1000000,4
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,292.66,oltp_read_write,64,1000000,4
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,324.22,oltp_read_write,64,1000000,4
1GB,2,23,1,ON,1,1024,1,25,100,48MB,4000,338.64,oltp_read_write,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,221.05,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,244.26,oltp_read_write,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,264.48,oltp_read_write,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,305.21,oltp_read_write,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,325.98,oltp_read_write,64,1000000,4
2GB,2,23,1,ON,1,1024,1,25,100,48MB,4000,335.02,oltp_read_write,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,214.25,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.64,oltp_read_write,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,229.30,oltp_read_write,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,297.02,oltp_read_write,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,320.13,oltp_read_write,64,1000000,4
3GB,2,23,1,ON,1,1024,1,25,100,48MB,4000,340.34,oltp_read_write,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,227.03,oltp_read_write,64,1000000,4
