id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Set Option),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Show Status),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu
1,2,2,2,1,1,1,1024,1,25,100,0.048,4000,289.63,86.22583333333023,7.842499999999973,0,0,0.2133333333333761,0.0683333333333398,1.4816666666666831,3.312500000000038,11.44769129278788,3861704704,33733480448,0,0,2.09255563914e-05,,0,0,88.20226224120759,4583.46,130830,0,242,0,36.160000000149005,0,0,6.0,5,6,5,5,151,0,0.0,0,9960.88,0,0.0,4980.26,0,142291.5,0.0,0,36154.06,0.0,35685.5,0.0,0.0,118565.18,0.0,2143518720,16777216,8388608,117209.56,11466470.08,79,2,16384,413,4000,0,0,1145.58,0,0.64,0,0,0,57274.06,572.76,112,2000,0,0.2,0,0.2,4009.34,0.9999501189662656,0.2,0.0,0,0,286.82,0,9,0,4295.7,0.0,0.0,0,0,286.34000000000003,286.34000000000003,4009.68,,4295.68,,93,21.34933440788166,22920982528,0.1,0.1,,,,,,,,6030932.01,6029614.36,4781.06,1.98,99.98599999997532,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
2,3,2,2,1,1,1,1024,1,25,100,0.048,4000,324.62,85.5816666666263,7.978333333333468,0,0,0.2199999999999893,0.0666666666666699,1.582500000000001,3.719166666666752,14.86867014428502,5015719936,33733480448,0,0,2.08948892892e-05,,0,0,88.67609297400571,5134.3,196212,0,396,0,31.75999999977648,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,11240.06,0,0.0,5619.86,0,160571.30000000002,0.0,0,40746.2,0.0,40244.56,0.0,0.0,132807.16,0.0,3214737408,16777216,8388608,131276.76,12844343.84,79,2,16384,414,4000,0,0,1283.24,0,0.58,0,0,0,64158.14,641.62,112,2000,0,0.2,0,0.2,4491.26,0.9999554710495028,0.2,0.0,0,0,321.2,0,9,0,4812.08,0.0,0.0,0,0,320.82,320.82,4491.54,0.1,4812.08,,99,21.349601468037307,22921269248,,,0.1,,,,,,,6777454.33,6776007.19,4860.5,0.16,100.01199999998788,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
3,4,2,2,1,1,1,1024,1,25,100,0.048,4000,355.29,84.62833333335584,8.53249999999995,0,0,0.2266666666666547,0.0816666666666729,1.664999999999888,3.944166666666623,18.31252497506894,6177452032,33733480448,0,0,2.08627542963e-05,,0,0,89.02037006736457,5590.1,261649,0,495,0,37.87999999988824,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,12174.6,0,0.0,6087.1,0,173907.12,0.0,0,44140.68,0.0,43593.0,0.0,0.0,144601.76,0.0,4286857216,16777216,8388608,142932.24,13984201.58,79,2,16384,413,4000,0,0,1397.14,0,0.6,0,0,0,69855.28,698.5600000000001,112,2000,0,0.2,0,0.2,4890.12,0.9999591028807931,0.2,0.0,0,0,349.68,0,9,0,5239.38,0.0,0.0,0,0,349.26,349.26,4890.400000000001,,5239.36,,94,21.35187147936028,22923706368,0.1,0.1,0.1,,0.1,,,,,7350766.31,7349317.78,4759.9800000000005,0.02,100.00199999997858,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
4,6,2,2,1,1,1,1024,1,25,100,0.048,4000,412.73,84.09083333335975,8.225833333333187,0,0,0.2699999999999843,0.0774999999999911,1.865000000000104,4.545000000000263,25.17773506677564,8493326336,33733480448,0,0,2.08255062663e-05,,0,0,89.99675374548332,6709.34,392413,0,803,0,34.73999999975784,0,0,6.0,5,6,5,5,151,0,0.0,0,14210.7,0,0.0,7105.14,0,203000.12,0.0,0,51456.98,0.0,50849.22,0.0,0.0,173566.66,0.0,6429294592,16777216,8388608,171543.36000000002,16784443.68,79,2,16384,413,4000,0,0,1677.04,0,0.6,0,0,0,83846.48,838.5,112,2000,0,0.2,0,0.2,5869.42,0.9999659262439476,0.2,0.0,0,0,419.64,0,9,0,6288.68,0.0,0.0,0,0,419.24,419.24,5869.72,,6288.66,,99,21.349990612835533,22921687040,,0.1,,,0.1,0.1,,,,8864170.230000002,8862722.250000002,4622.380000000001,1.2000000000000002,99.99200000002747,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
5,8,2,2,1,1,1,1024,1,25,100,0.048,4000,493.45,83.88750000001164,8.152499999999844,0,0,0.2766666666666447,0.0824999999999936,1.9483333333333992,4.781666666666826,31.825125523436768,10735722496,33733480448,0,0,2.07868164975e-05,,0,0,89.85627473174102,7020.24,508187,15211,890,0,37.02000000001863,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,16932.4,0,0.0,8465.98,0,241872.56,0.0,0,61299.58,0.0,60581.98,0.0,0.0,181614.96,0.0,8326135808,16777216,8388608,179492.96,17562718.88,79,2,16384,414,4000,0,0,1754.8,0,0.64,0,0,0,87732.02,877.36,112,2000,0,0.22,0,0.22,6141.5,0.9999641794155384,0.22,0.0,0,0,439.08,0,9,0,6580.16,0.0,0.0,0,0,438.66,438.66,6141.8,,6580.16,,93,21.35040264850424,22922129408,,,0.12,,,,,,,9384304.84,9382985.24,4552.96,2.78,99.99200000002747,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
6,9,2,2,1,1,1,1024,1,25,100,0.048,4000,528.96,83.536666666662,8.287500000000364,0,0,0.2700000000000102,0.0891666666666495,2.00416666666672,4.8966666666667225,32.97091581506058,11122237440,33733480448,0,0,2.07407002835e-05,,0,0,89.65672105488767,7070.08,526926,61955,943,0,32.0,0,0,6.0,5,6,5,5,151,0,0.0,0,18062.52,0,0.0,9031.04,0,258022.66,0.0,0,65402.68,0.0,64631.98,0.0,0.0,182896.72,0.0,8633155584,16777216,8388608,180761.54,17686579.1,79,2,16384,413,4000,0,0,1767.18,0,0.58,0,0,0,88351.58,883.58,112,2000,0,0.2,0,0.2,6185.1,0.9999676652708842,0.2,0.0,0,0,442.16,0,9,0,6626.860000000001,0.0,0.0,0,0,441.78,441.78,6185.38,0.1,6626.88,,97,21.350704044965607,22922452992,0.1,,0.1,,0.1,,,,,9492662.56,9491212.87,4741.5,0.04,99.99199999996928,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
7,12,2,2,1,1,1,1024,1,25,100,0.048,4000,656.27,83.08249999997982,8.519999999999829,0,0,0.2891666666666926,0.0825000000000007,2.0616666666665915,5.067499999999996,35.18012344529248,11867480064,33733480448,0,0,2.06907305079e-05,,0,0,89.97488382443159,7602.28,558729,226471,1232,0,45.52000000001863,0,0,6.0,5,6,5,5,151,0,0.0,0,27590.18,0,0.0,13794.9,0,394124.12,0.0,0,99769.48,0.0,98658.58,0.0,0.0,196653.56,0.0,9154215936,16777216,8388608,194374.66,19016484.04,79,2,16384,414,4000,0,0,1900.16,0,0.64,0,0,0,95003.96,950.1,112,2000,0,0.2,0,0.2,6650.7,0.9999699288818056,0.2,0.0,0,0,475.5,0,9,0,7125.8,0.0,0.0,0,0,475.06,475.06,6651.04,0.1,7125.76,,99,21.351337359048983,22923132928,0.1,0.1,0.1,,0.1,,,,,10023060.41,10021611.21,4731.92,1.14,99.95000000001164,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
8,16,2,2,1,1,1,1024,1,25,100,0.048,4000,713.13,81.89666666662865,9.624166666666952,0,0,0.2858333333333458,0.0908333333333241,2.1008333333332607,4.999999999999697,36.25253818339711,12229242880,33733480448,0,0,2.06333258588e-05,,0,0,89.85056922540264,7857.64,593098,454106,1372,0,38.380000000353895,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,29295.34,0,0.0,14647.48,0,418478.12,0.0,0,105896.32,0.0,104737.2,0.0,0.0,203276.9,0.0,9717317632,16777216,8388608,200899.72,19657102.02,79,2,16384,413,4000,0,0,1964.14,0,0.62,0,0,0,98203.34,982.06,112,2000,0,0.2,0,0.2,6874.2,0.9999709065518444,0.2,0.0,0,0,491.44,0,9,0,7365.2,0.0,0.0,0,0,491.02,491.02,6874.5,0.1,7365.2,,101,21.351425107385847,22923227136,0.1,,0.1,,0.1,0.1,,,,9652092.52,9650771.46,5659.28,3.1,99.99400000000604,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
9,18,2,2,1,1,1,1024,1,25,100,0.048,4000,728.75,81.4533333333675,9.945000000000087,0,0,0.294999999999978,0.0983333333333457,2.1283333333334253,5.063333333333199,37.32849845544642,12592201728,33733480448,0,0,2.05694295922e-05,,0,0,89.91224165671076,8062.48,605005,573143,1500,0,40.89999999990687,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,30244.2,0,0.0,15121.88,0,432040.72,0.0,0,109345.98,0.0,108140.22,0.0,0.0,208566.08,0.0,9912401920,16777216,8388608,206134.32,20168507.8,79,2,16384,399,4000,0,0,2015.22,0,0.64,0,0,0,100754.72,1007.62,112,2000,0,0.22,0,0.18,7053.52,0.999974481477806,0.18,0.0,0,0,504.22,0,9,0,7557.28,0.0,0.0,0,0,503.8,503.8,7053.78,,7557.28,,103,21.35188292479552,22923718656,,,0.12,,,,,,,9810419.33,9808978.2,5721.4800000000005,1.06,99.99400000000604,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
10,24,2,2,1,1,1,1024,1,25,100,0.048,4000,704.38,82.3958333332751,9.194166666666431,0,0,0.3008333333333344,0.1074999999999875,2.064999999999978,4.9191666666671,38.88510927954872,13117300736,33733480448,0,0,2.05050975913e-05,,0,0,88.98364511481708,6987.900000000001,566221,1005606,1037,0,33.06000000005588,0,0,6.0,5,6,5,5,151,0,0.0,0,28990.44,0,0.0,14495.0,0,414121.08,0.0,0,104790.34,0.0,103642.06,0.0,0.0,180773.2,0.0,9276964864,16777216,8388608,178666.2,17481053.22,79,2,16384,413,4000,0,0,1746.66,0,0.62,0,0,0,87326.72,873.34,112,2000,0,0.2,0,0.2,6113.1,0.9999672844453896,0.2,0.0,0,0,437.08,0,9,0,6549.78,0.0,0.0,0,0,436.68,436.68,6113.4400000000005,0.1,6549.8,,94,21.35176084015293,22923587584,,0.1,0.1,,0.1,0.1,,,,9425903.47,9424584.77,5449.3,3.44,99.98400000005496,"[0.79343741 0.02038161 0.01116652 0.01111232 0.01111232 0.01111232
 0.01111232 0.01111232 0.01440084 0.01223258 0.01154597 0.08127349]",64-1000000-4-oltp_read_only-0.2,32,24
