id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,307.41,64,1000000,4,oltp_read_only,0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,375.21,64,1000000,4,oltp_read_only,0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,425.96,64,1000000,4,oltp_read_only,0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,463.69,64,1000000,4,oltp_read_only,0.2
4,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,536.42,64,1000000,4,oltp_read_only,0.2
5,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,623.87,64,1000000,4,oltp_read_only,0.2
6,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,677.26,64,1000000,4,oltp_read_only,0.2
7,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,873.51,64,1000000,4,oltp_read_only,0.2
8,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,381.32,64,1000000,4,oltp_read_only,0.2
9,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,380.92,64,1000000,4,oltp_read_only,0.2
10,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,379.45,64,1000000,4,oltp_read_only,0.2
11,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,377.70,64,1000000,4,oltp_read_only,0.2
12,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,374.51,64,1000000,4,oltp_read_only,0.2
13,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,377.19,64,1000000,4,oltp_read_only,0.2
14,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,380.27,64,1000000,4,oltp_read_only,0.2
15,1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,379.37,64,1000000,4,oltp_read_only,0.2
16,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,378.27,64,1000000,4,oltp_read_only,0.2
17,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,374.16,64,1000000,4,oltp_read_only,0.2
18,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,383.01,64,1000000,4,oltp_read_only,0.2
19,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,377.57,64,1000000,4,oltp_read_only,0.2
20,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,378.92,64,1000000,4,oltp_read_only,0.2
21,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,381.57,64,1000000,4,oltp_read_only,0.2
22,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,380.48,64,1000000,4,oltp_read_only,0.2
23,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,380.06,64,1000000,4,oltp_read_only,0.2
24,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,378.14,64,1000000,4,oltp_read_only,0.2
25,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,381.25,64,1000000,4,oltp_read_only,0.2
26,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,382.48,64,1000000,4,oltp_read_only,0.2
27,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,373.59,64,1000000,4,oltp_read_only,0.2
28,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,380.92,64,1000000,4,oltp_read_only,0.2
29,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,380.59,64,1000000,4,oltp_read_only,0.2
30,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,380.28,64,1000000,4,oltp_read_only,0.2
31,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,379.47,64,1000000,4,oltp_read_only,0.2
32,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,378.76,64,1000000,4,oltp_read_only,0.2
33,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,384.72,64,1000000,4,oltp_read_only,0.2
34,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,383.07,64,1000000,4,oltp_read_only,0.2
35,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,376.69,64,1000000,4,oltp_read_only,0.2
36,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,382.00,64,1000000,4,oltp_read_only,0.2
