innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,700.84,oltp_read_only,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,694.81,oltp_read_only,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,703.05,oltp_read_only,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,710.07,oltp_read_only,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,705.03,oltp_read_only,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,742.70,oltp_read_only,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,799.01,oltp_read_only,64,1000000,4
1,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,849.43,oltp_read_only,64,1000000,4
1,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,728.64,oltp_read_only,64,1000000,4
1,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,781.78,oltp_read_only,64,1000000,4
1,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,850.71,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,754.63,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,705.88,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,694.80,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,686.00,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,683.38,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.56,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,766.66,oltp_read_only,64,1000000,4
2,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,816.91,oltp_read_only,64,1000000,4
2,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,783.12,oltp_read_only,64,1000000,4
2,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,878.04,oltp_read_only,64,1000000,4
2,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,808.57,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,762.30,oltp_read_only,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.97,oltp_read_only,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,669.17,oltp_read_only,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.01,oltp_read_only,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,686.12,oltp_read_only,64,1000000,4
3,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,794.46,oltp_read_only,64,1000000,4
3,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,691.18,oltp_read_only,64,1000000,4
3,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,805.09,oltp_read_only,64,1000000,4
3,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,842.31,oltp_read_only,64,1000000,4
3,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.71,oltp_read_only,64,1000000,4
3,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.31,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,687.97,oltp_read_only,64,1000000,4
7,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,700.95,oltp_read_only,64,1000000,4
7,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,775.01,oltp_read_only,64,1000000,4
7,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,666.70,oltp_read_only,64,1000000,4
7,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,766.26,oltp_read_only,64,1000000,4
7,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,758.01,oltp_read_only,64,1000000,4
7,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,794.27,oltp_read_only,64,1000000,4
7,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,819.12,oltp_read_only,64,1000000,4
7,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,740.11,oltp_read_only,64,1000000,4
7,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,762.85,oltp_read_only,64,1000000,4
7,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,834.20,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.94,oltp_read_only,64,1000000,4
15,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,754.12,oltp_read_only,64,1000000,4
15,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,691.90,oltp_read_only,64,1000000,4
15,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,706.31,oltp_read_only,64,1000000,4
15,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,722.98,oltp_read_only,64,1000000,4
15,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,772.67,oltp_read_only,64,1000000,4
15,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,717.65,oltp_read_only,64,1000000,4
15,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,766.78,oltp_read_only,64,1000000,4
15,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,807.97,oltp_read_only,64,1000000,4
15,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,817.64,oltp_read_only,64,1000000,4
15,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.17,oltp_read_only,64,1000000,4
1,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,730.08,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.06,oltp_read_only,64,1000000,4
1,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,721.55,oltp_read_only,64,1000000,4
1,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,761.38,oltp_read_only,64,1000000,4
1,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,755.63,oltp_read_only,64,1000000,4
1,1GB,23,1,ON,1,1024,1,25,100,48MB,4000,715.07,oltp_read_only,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,701.82,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,753.50,oltp_read_only,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,783.07,oltp_read_only,64,1000000,4
2,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,727.37,oltp_read_only,64,1000000,4
2,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,726.98,oltp_read_only,64,1000000,4
3,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,732.81,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,730.17,oltp_read_only,64,1000000,4
3,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,689.77,oltp_read_only,64,1000000,4
3,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,726.57,oltp_read_only,64,1000000,4
3,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,764.45,oltp_read_only,64,1000000,4
7,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,714.69,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,756.07,oltp_read_only,64,1000000,4
7,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,754.57,oltp_read_only,64,1000000,4
7,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,730.26,oltp_read_only,64,1000000,4
7,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,725.07,oltp_read_only,64,1000000,4
15,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,710.08,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,719.81,oltp_read_only,64,1000000,4
15,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,729.15,oltp_read_only,64,1000000,4
15,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,731.71,oltp_read_only,64,1000000,4
23,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,687.42,oltp_read_only,64,1000000,4
1,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,724.61,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,724.31,oltp_read_only,64,1000000,4
1,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,723.65,oltp_read_only,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,744.54,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,718.42,oltp_read_only,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,745.60,oltp_read_only,64,1000000,4
3,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,739.80,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,769.17,oltp_read_only,64,1000000,4
3,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,711.09,oltp_read_only,64,1000000,4
7,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,753.42,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,766.85,oltp_read_only,64,1000000,4
7,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,763.75,oltp_read_only,64,1000000,4
15,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,694.46,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,747.19,oltp_read_only,64,1000000,4
15,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,757.55,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,724.63,oltp_read_only,64,1000000,4
1,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,751.48,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,749.63,oltp_read_only,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,692.83,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,715.14,oltp_read_only,64,1000000,4
3,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,754.83,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,749.79,oltp_read_only,64,1000000,4
7,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,778.12,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,719.87,oltp_read_only,64,1000000,4
15,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,759.06,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,759.20,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,780.33,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,756.17,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,725.22,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,743.74,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,693.61,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,689.05,oltp_read_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.49,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,715.74,oltp_read_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,738.11,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,100,1,25,100,48MB,4000,710.94,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,784.49,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,727.33,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,749.79,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,100,1,25,100,48MB,4000,745.74,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,729.84,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,750.53,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,703.33,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,100,1,25,100,48MB,4000,712.82,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,744.01,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,757.98,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,747.89,oltp_read_only,64,1000000,4
