innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,283.00,oltp_read_write,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,315.93,oltp_read_write,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,330.64,oltp_read_write,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,348.88,oltp_read_write,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,335.25,oltp_read_write,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,347.09,oltp_read_write,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,342.88,oltp_read_write,64,1000000,4
1,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,348.40,oltp_read_write,64,1000000,4
1,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,353.27,oltp_read_write,64,1000000,4
1,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.25,oltp_read_write,64,1000000,4
1,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,349.74,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,340.83,oltp_read_write,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,355.65,oltp_read_write,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.05,oltp_read_write,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.99,oltp_read_write,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,353.88,oltp_read_write,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,355.56,oltp_read_write,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.80,oltp_read_write,64,1000000,4
2,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.24,oltp_read_write,64,1000000,4
2,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,359.38,oltp_read_write,64,1000000,4
2,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.94,oltp_read_write,64,1000000,4
2,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.91,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,354.78,oltp_read_write,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.93,oltp_read_write,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,370.10,oltp_read_write,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,366.06,oltp_read_write,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.32,oltp_read_write,64,1000000,4
3,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,362.23,oltp_read_write,64,1000000,4
3,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.18,oltp_read_write,64,1000000,4
3,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,366.35,oltp_read_write,64,1000000,4
3,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,367.83,oltp_read_write,64,1000000,4
3,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,353.66,oltp_read_write,64,1000000,4
3,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,375.01,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,356.92,oltp_read_write,64,1000000,4
7,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,366.24,oltp_read_write,64,1000000,4
7,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,354.20,oltp_read_write,64,1000000,4
7,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,360.47,oltp_read_write,64,1000000,4
7,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,373.96,oltp_read_write,64,1000000,4
7,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,370.93,oltp_read_write,64,1000000,4
7,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,369.64,oltp_read_write,64,1000000,4
7,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,378.04,oltp_read_write,64,1000000,4
7,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,379.22,oltp_read_write,64,1000000,4
7,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,382.83,oltp_read_write,64,1000000,4
7,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,373.28,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.69,oltp_read_write,64,1000000,4
15,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.48,oltp_read_write,64,1000000,4
15,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,375.74,oltp_read_write,64,1000000,4
15,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,368.28,oltp_read_write,64,1000000,4
15,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.07,oltp_read_write,64,1000000,4
15,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,376.36,oltp_read_write,64,1000000,4
15,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,374.88,oltp_read_write,64,1000000,4
15,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,382.25,oltp_read_write,64,1000000,4
15,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,385.21,oltp_read_write,64,1000000,4
15,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,384.05,oltp_read_write,64,1000000,4
15,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,375.80,oltp_read_write,64,1000000,4
1,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,331.09,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,365.29,oltp_read_write,64,1000000,4
1,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,363.70,oltp_read_write,64,1000000,4
1,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,374.08,oltp_read_write,64,1000000,4
1,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,374.38,oltp_read_write,64,1000000,4
1,1GB,23,1,ON,1,1024,1,25,100,48MB,4000,376.23,oltp_read_write,64,1000000,4
