innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,429.26,oltp_write_only,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,493.56,oltp_write_only,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,571.84,oltp_write_only,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,630.04,oltp_write_only,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,645.28,oltp_write_only,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,638.80,oltp_write_only,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,665.74,oltp_write_only,64,1000000,4
1,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,662.05,oltp_write_only,64,1000000,4
1,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,675.96,oltp_write_only,64,1000000,4
1,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,667.36,oltp_write_only,64,1000000,4
1,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,685.99,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,694.01,oltp_write_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,723.04,oltp_write_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,702.63,oltp_write_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,712.94,oltp_write_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,716.52,oltp_write_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,717.66,oltp_write_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,708.05,oltp_write_only,64,1000000,4
2,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,722.34,oltp_write_only,64,1000000,4
2,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.97,oltp_write_only,64,1000000,4
2,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,750.56,oltp_write_only,64,1000000,4
2,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,742.57,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.82,oltp_write_only,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.03,oltp_write_only,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,734.91,oltp_write_only,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.61,oltp_write_only,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,718.90,oltp_write_only,64,1000000,4
3,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,736.00,oltp_write_only,64,1000000,4
3,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.34,oltp_write_only,64,1000000,4
3,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.75,oltp_write_only,64,1000000,4
3,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,744.70,oltp_write_only,64,1000000,4
3,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.16,oltp_write_only,64,1000000,4
3,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.49,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,757.83,oltp_write_only,64,1000000,4
7,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.46,oltp_write_only,64,1000000,4
7,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,757.97,oltp_write_only,64,1000000,4
7,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,738.72,oltp_write_only,64,1000000,4
7,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.34,oltp_write_only,64,1000000,4
7,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,751.17,oltp_write_only,64,1000000,4
7,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,738.72,oltp_write_only,64,1000000,4
7,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,729.40,oltp_write_only,64,1000000,4
7,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.64,oltp_write_only,64,1000000,4
7,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.75,oltp_write_only,64,1000000,4
7,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,752.59,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.51,oltp_write_only,64,1000000,4
15,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,726.87,oltp_write_only,64,1000000,4
15,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.18,oltp_write_only,64,1000000,4
15,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,770.58,oltp_write_only,64,1000000,4
15,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,751.73,oltp_write_only,64,1000000,4
15,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,745.32,oltp_write_only,64,1000000,4
15,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,740.90,oltp_write_only,64,1000000,4
15,12GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.81,oltp_write_only,64,1000000,4
15,16GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.23,oltp_write_only,64,1000000,4
15,18GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.91,oltp_write_only,64,1000000,4
15,24GB,2,1,ON,1,1024,1,25,100,48MB,4000,759.28,oltp_write_only,64,1000000,4
1,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,669.38,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.62,oltp_write_only,64,1000000,4
1,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,754.77,oltp_write_only,64,1000000,4
1,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,802.87,oltp_write_only,64,1000000,4
1,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,824.08,oltp_write_only,64,1000000,4
1,1GB,23,1,ON,1,1024,1,25,100,48MB,4000,808.72,oltp_write_only,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,692.79,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.82,oltp_write_only,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,760.49,oltp_write_only,64,1000000,4
2,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,823.06,oltp_write_only,64,1000000,4
2,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,815.71,oltp_write_only,64,1000000,4
3,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,694.54,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,743.99,oltp_write_only,64,1000000,4
3,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,751.81,oltp_write_only,64,1000000,4
3,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,816.14,oltp_write_only,64,1000000,4
3,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,830.96,oltp_write_only,64,1000000,4
7,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,701.65,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.96,oltp_write_only,64,1000000,4
7,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,781.51,oltp_write_only,64,1000000,4
7,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,811.58,oltp_write_only,64,1000000,4
7,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,859.27,oltp_write_only,64,1000000,4
15,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,699.15,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.29,oltp_write_only,64,1000000,4
15,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,753.90,oltp_write_only,64,1000000,4
15,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,812.97,oltp_write_only,64,1000000,4
23,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,691.55,oltp_write_only,64,1000000,4
1,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,750.37,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,733.14,oltp_write_only,64,1000000,4
1,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,763.92,oltp_write_only,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,756.39,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,757.77,oltp_write_only,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,758.93,oltp_write_only,64,1000000,4
3,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,757.22,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,730.51,oltp_write_only,64,1000000,4
3,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,755.88,oltp_write_only,64,1000000,4
7,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,763.77,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.00,oltp_write_only,64,1000000,4
7,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,740.44,oltp_write_only,64,1000000,4
15,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,757.77,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,729.89,oltp_write_only,64,1000000,4
15,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,759.88,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,729.93,oltp_write_only,64,1000000,4
1,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,732.76,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.08,oltp_write_only,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,733.33,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.72,oltp_write_only,64,1000000,4
3,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,736.14,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,734.10,oltp_write_only,64,1000000,4
7,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,728.32,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,738.09,oltp_write_only,64,1000000,4
15,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,727.54,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,830.62,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,749.93,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,836.78,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,726.12,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,826.77,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,722.81,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,800.57,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,723.78,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,825.52,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,724.88,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,100,1,25,100,48MB,4000,735.83,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,739.86,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,733.52,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,730.86,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,100,1,25,100,48MB,4000,731.10,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.64,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,742.11,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,737.84,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,100,1,25,100,48MB,4000,736.17,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.89,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,740.96,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,733.77,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,100,1,25,100,48MB,4000,743.06,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,740.13,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,720.71,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,740.97,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,100,1,25,100,48MB,4000,740.41,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,742.95,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,742.43,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,737.77,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,724.37,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,781.26,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,844.51,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,862.23,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.58,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,782.54,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,852.58,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,851.91,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,747.10,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,795.22,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,857.13,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,856.39,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,748.58,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,793.29,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,836.36,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,841.73,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,740.72,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,781.16,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,848.26,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,851.85,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,645.57,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,743.78,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,744.12,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,738.76,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,647.00,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,741.98,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,739.63,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,736.04,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,636.24,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,737.53,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,747.69,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,750.95,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,665.54,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,728.70,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,733.16,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,745.83,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,641.35,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,731.07,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.83,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,727.97,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,716.85,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,680.17,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,666.14,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,653.65,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,745.32,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,685.08,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,657.43,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,664.64,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,749.58,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,701.94,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,665.92,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,697.64,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,762.01,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,677.80,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,667.89,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,656.09,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,742.89,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,697.17,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,665.78,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,665.66,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,594.36,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,765.56,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,762.70,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,784.55,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,588.26,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,749.64,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,764.36,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,772.55,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,593.37,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,747.79,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,762.75,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,792.64,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,574.29,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,767.67,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,776.20,oltp_write_only,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,777.65,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,589.40,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,756.57,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,771.14,oltp_write_only,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,786.62,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,1,691.21,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,1000,754.95,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,2000,759.95,oltp_write_only,64,1000000,4
