innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1535.25,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1501.92,oltp_read_only,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1624.57,oltp_read_only,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1533.87,oltp_read_only,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1655.44,oltp_read_only,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1501.42,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1696.57,oltp_read_only,64,1000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1607.94,oltp_read_only,64,1000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1621.83,oltp_read_only,64,1000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1654.77,oltp_read_only,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1724.69,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1752.08,oltp_read_only,64,1000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1644.52,oltp_read_only,64,1000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1637.24,oltp_read_only,64,1000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1585.66,oltp_read_only,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1670.30,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1723.09,oltp_read_only,64,1000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1706.55,oltp_read_only,64,1000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1614.59,oltp_read_only,64,1000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1641.17,oltp_read_only,64,1000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1682.15,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1688.42,oltp_read_only,64,1000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1763.70,oltp_read_only,64,1000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1740.21,oltp_read_only,64,1000000,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1704.11,oltp_read_only,64,1000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1928.02,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1846.31,oltp_read_only,64,1000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1866.46,oltp_read_only,64,1000000,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1899.42,oltp_read_only,64,1000000,4
8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1931.92,oltp_read_only,64,1000000,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,2013.28,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1902.27,oltp_read_only,64,1000000,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,1903.44,oltp_read_only,64,1000000,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,1916.84,oltp_read_only,64,1000000,4
9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,1990.18,oltp_read_only,64,1000000,4
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,1965.20,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2023.56,oltp_read_only,64,1000000,4
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,2090.94,oltp_read_only,64,1000000,4
12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,2055.96,oltp_read_only,64,1000000,4
12GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,2028.78,oltp_read_only,64,1000000,4
16GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,2127.02,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2068.32,oltp_read_only,64,1000000,4
16GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,2187.64,oltp_read_only,64,1000000,4
16GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,2138.60,oltp_read_only,64,1000000,4
16GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,2144.06,oltp_read_only,64,1000000,4
18GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,2087.82,oltp_read_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2122.63,oltp_read_only,64,1000000,4
18GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,2094.14,oltp_read_only,64,1000000,4
18GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,2100.50,oltp_read_only,64,1000000,4
18GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,2135.26,oltp_read_only,64,1000000,4
24GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,2134.33,oltp_read_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2140.69,oltp_read_only,64,1000000,4
24GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,2164.19,oltp_read_only,64,1000000,4
24GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,2110.42,oltp_read_only,64,1000000,4
24GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,2155.27,oltp_read_only,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1460.29,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1430.27,oltp_read_only,64,1000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1414.40,oltp_read_only,64,1000000,4
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1544.56,oltp_read_only,64,1000000,4
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1620.47,oltp_read_only,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1546.06,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1485.44,oltp_read_only,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1518.00,oltp_read_only,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1456.00,oltp_read_only,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1491.94,oltp_read_only,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1585.64,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1595.57,oltp_read_only,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1509.20,oltp_read_only,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1650.95,oltp_read_only,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1732.42,oltp_read_only,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1590.02,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1603.79,oltp_read_only,64,1000000,4
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1610.88,oltp_read_only,64,1000000,4
4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1602.16,oltp_read_only,64,1000000,4
4GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1630.22,oltp_read_only,64,1000000,4
6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1667.35,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1737.90,oltp_read_only,64,1000000,4
6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1745.00,oltp_read_only,64,1000000,4
6GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1765.39,oltp_read_only,64,1000000,4
6GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1729.38,oltp_read_only,64,1000000,4
8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1765.53,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2018.51,oltp_read_only,64,1000000,4
8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1814.62,oltp_read_only,64,1000000,4
8GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1858.63,oltp_read_only,64,1000000,4
8GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1874.16,oltp_read_only,64,1000000,4
9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1955.41,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1918.88,oltp_read_only,64,1000000,4
9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1951.70,oltp_read_only,64,1000000,4
9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1904.47,oltp_read_only,64,1000000,4
9GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1930.39,oltp_read_only,64,1000000,4
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1970.66,oltp_read_only,64,1000000,4
