innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,110.74,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,113.08,oltp_read_write,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,114.57,oltp_read_write,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,119.22,oltp_read_write,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,119.95,oltp_read_write,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,123.93,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,121.69,oltp_read_write,64,1000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,124.89,oltp_read_write,64,1000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,123.30,oltp_read_write,64,1000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,123.72,oltp_read_write,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,140.04,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,140.62,oltp_read_write,64,1000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,142.80,oltp_read_write,64,1000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,141.63,oltp_read_write,64,1000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,145.02,oltp_read_write,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,155.66,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,155.56,oltp_read_write,64,1000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,157.85,oltp_read_write,64,1000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,159.70,oltp_read_write,64,1000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,159.82,oltp_read_write,64,1000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,172.14,oltp_read_write,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,174.29,oltp_read_write,64,1000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,173.95,oltp_read_write,64,1000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,168.67,oltp_read_write,64,1000000,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,170.97,oltp_read_write,64,1000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,177.02,oltp_read_write,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,182.18,oltp_read_write,64,1000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,177.26,oltp_read_write,64,1000000,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,176.32,oltp_read_write,64,1000000,4
8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,178.77,oltp_read_write,64,1000000,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,182.73,oltp_read_write,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,183.09,oltp_read_write,64,1000000,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,184.48,oltp_read_write,64,1000000,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,185.33,oltp_read_write,64,1000000,4
9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,182.71,oltp_read_write,64,1000000,4
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,186.26,oltp_read_write,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,182.79,oltp_read_write,64,1000000,4
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,191.24,oltp_read_write,64,1000000,4
12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,190.55,oltp_read_write,64,1000000,4
12GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,187.03,oltp_read_write,64,1000000,4
16GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,190.74,oltp_read_write,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,190.69,oltp_read_write,64,1000000,4
16GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,195.31,oltp_read_write,64,1000000,4
16GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,190.58,oltp_read_write,64,1000000,4
16GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,192.67,oltp_read_write,64,1000000,4
18GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,194.07,oltp_read_write,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,197.23,oltp_read_write,64,1000000,4
18GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,194.76,oltp_read_write,64,1000000,4
18GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,197.69,oltp_read_write,64,1000000,4
18GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,199.38,oltp_read_write,64,1000000,4
24GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,204.09,oltp_read_write,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,201.46,oltp_read_write,64,1000000,4
24GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,200.20,oltp_read_write,64,1000000,4
24GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,204.77,oltp_read_write,64,1000000,4
24GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,203.19,oltp_read_write,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,129.19,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,147.72,oltp_read_write,64,1000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,160.24,oltp_read_write,64,1000000,4
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,178.77,oltp_read_write,64,1000000,4
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,194.38,oltp_read_write,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,132.04,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,145.08,oltp_read_write,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,153.86,oltp_read_write,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,176.09,oltp_read_write,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,189.99,oltp_read_write,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,152.79,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,152.37,oltp_read_write,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,159.63,oltp_read_write,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,178.38,oltp_read_write,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,190.54,oltp_read_write,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,174.98,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,177.19,oltp_read_write,64,1000000,4
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,178.52,oltp_read_write,64,1000000,4
4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,190.28,oltp_read_write,64,1000000,4
