innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,212.77,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,220.75,oltp_write_only,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,236.49,oltp_write_only,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,251.65,oltp_write_only,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,256.97,oltp_write_only,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,263.67,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,270.38,oltp_write_only,64,1000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,280.53,oltp_write_only,64,1000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,278.46,oltp_write_only,64,1000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,281.30,oltp_write_only,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,283.48,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,290.49,oltp_write_only,64,1000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,286.13,oltp_write_only,64,1000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,284.50,oltp_write_only,64,1000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,283.72,oltp_write_only,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,293.45,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,292.09,oltp_write_only,64,1000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,295.93,oltp_write_only,64,1000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,287.19,oltp_write_only,64,1000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,296.90,oltp_write_only,64,1000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,289.90,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,289.72,oltp_write_only,64,1000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,291.90,oltp_write_only,64,1000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,291.64,oltp_write_only,64,1000000,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,294.65,oltp_write_only,64,1000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,296.00,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,290.73,oltp_write_only,64,1000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,296.82,oltp_write_only,64,1000000,4
