innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,680.52,oltp_read_only,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.76,oltp_read_only,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,695.55,oltp_read_only,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,681.31,oltp_read_only,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,645.26,oltp_read_only,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,708.08,oltp_read_only,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,730.61,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,734.75,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,674.38,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,672.44,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,687.59,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,663.63,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,697.87,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.35,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,762.77,oltp_read_only,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,714.08,oltp_read_only,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,672.81,oltp_read_only,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,698.92,oltp_read_only,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,683.95,oltp_read_only,64,1000000,4
3,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,710.74,oltp_read_only,64,1000000,4
3,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,726.80,oltp_read_only,64,1000000,4
1,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,711.32,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,733.67,oltp_read_only,64,1000000,4
1,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,727.12,oltp_read_only,64,1000000,4
1,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,705.19,oltp_read_only,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,718.87,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,717.88,oltp_read_only,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,721.59,oltp_read_only,64,1000000,4
3,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,706.29,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,708.08,oltp_read_only,64,1000000,4
3,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,717.08,oltp_read_only,64,1000000,4
7,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,699.66,oltp_read_only,64,1000000,4
1,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,722.03,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,718.14,oltp_read_only,64,1000000,4
1,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,718.53,oltp_read_only,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,731.40,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.48,oltp_read_only,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,735.86,oltp_read_only,64,1000000,4
3,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,702.53,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,692.07,oltp_read_only,64,1000000,4
3,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,698.28,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,704.74,oltp_read_only,64,1000000,4
1,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,710.93,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,715.30,oltp_read_only,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,727.61,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.84,oltp_read_only,64,1000000,4
3,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,706.22,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,720.87,oltp_read_only,64,1000000,4
