innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,248.80,oltp_read_write,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,277.52,oltp_read_write,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,323.22,oltp_read_write,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,326.27,oltp_read_write,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,315.71,oltp_read_write,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,325.08,oltp_read_write,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,330.33,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,325.74,oltp_read_write,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,332.47,oltp_read_write,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,327.82,oltp_read_write,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,331.77,oltp_read_write,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,328.49,oltp_read_write,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,333.71,oltp_read_write,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,335.38,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,341.62,oltp_read_write,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,342.74,oltp_read_write,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,325.95,oltp_read_write,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,331.38,oltp_read_write,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,334.57,oltp_read_write,64,1000000,4
3,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,335.37,oltp_read_write,64,1000000,4
3,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,331.62,oltp_read_write,64,1000000,4
1,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,325.43,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,350.17,oltp_read_write,64,1000000,4
1,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,353.20,oltp_read_write,64,1000000,4
1,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,365.38,oltp_read_write,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,335.13,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.07,oltp_read_write,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,353.44,oltp_read_write,64,1000000,4
3,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,345.90,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,347.12,oltp_read_write,64,1000000,4
3,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,358.07,oltp_read_write,64,1000000,4
7,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,331.15,oltp_read_write,64,1000000,4
1,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,350.62,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,355.72,oltp_read_write,64,1000000,4
1,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,354.01,oltp_read_write,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,354.92,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,353.21,oltp_read_write,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,351.17,oltp_read_write,64,1000000,4
3,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,366.73,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,345.52,oltp_read_write,64,1000000,4
3,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,356.17,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.10,oltp_read_write,64,1000000,4
1,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,350.00,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,350.55,oltp_read_write,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,346.28,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,348.63,oltp_read_write,64,1000000,4
3,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,354.23,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,354.85,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,360.58,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,366.43,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,351.81,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,364.69,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,352.84,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,100,1,25,100,48MB,4000,341.74,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,354.95,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,341.16,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,340.77,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,100,1,25,100,48MB,4000,345.43,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,348.74,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,338.32,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,348.89,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,100,1,25,100,48MB,4000,340.38,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,354.70,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,355.86,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,337.14,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,343.12,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,362.37,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,365.59,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,365.11,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,350.38,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,361.87,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,369.39,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,375.70,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,348.24,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,351.08,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,370.79,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,375.07,oltp_read_write,64,1000000,4
