innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,761.35,oltp_write_only,64,1000000,4
1,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,723.46,oltp_write_only,64,1000000,4
1,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,768.12,oltp_write_only,64,1000000,4
1,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,789.15,oltp_write_only,64,1000000,4
1,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,789.22,oltp_write_only,64,1000000,4
1,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,799.29,oltp_write_only,64,1000000,4
1,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,787.93,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,763.43,oltp_write_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.66,oltp_write_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,786.03,oltp_write_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,794.63,oltp_write_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,800.34,oltp_write_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,769.72,oltp_write_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,779.28,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,770.52,oltp_write_only,64,1000000,4
3,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,691.89,oltp_write_only,64,1000000,4
3,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,776.33,oltp_write_only,64,1000000,4
3,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,792.24,oltp_write_only,64,1000000,4
3,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,802.18,oltp_write_only,64,1000000,4
