workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,6099,30495,0,30495,5000,40,30,0.8,0
"a","Silo",1,1,true,6134,30691,0,30691,5003,40,30,0.8,0
"a","Silo",1,1,true,4941,28293,0,28293,5726,40,30,0.8,0
"a","Silo",1,2,true,10625,53138,5817,58955,5001,40,30,0.8,0
"a","Silo",1,2,true,8596,42990,4758,47748,5001,40,30,0.8,0
"a","Silo",1,2,true,10695,53486,5917,59403,5001,40,30,0.8,0
"a","Silo",1,3,true,14260,71346,15442,86788,5003,40,30,0.8,0
"a","Silo",1,3,true,11554,57783,12436,70219,5001,40,30,0.8,0
"a","Silo",1,3,true,13087,65488,14066,79554,5004,40,30,0.8,0
"a","Silo",1,4,true,16489,82532,25013,107545,5005,40,30,0.8,0
"a","Silo",1,4,true,17162,85898,26113,112011,5005,40,30,0.8,0
"a","Silo",1,4,true,17091,85543,26162,111705,5005,40,30,0.8,0
"a","Silo",1,5,true,19596,97981,38054,136035,5000,40,30,0.8,0
"a","Silo",1,5,true,16064,91585,35121,126706,5701,40,30,0.8,0
"a","Silo",1,5,true,19512,97601,38340,135941,5002,40,30,0.8,0
"a","Silo",1,6,true,21521,107609,49902,157511,5000,40,30,0.8,0
"a","Silo",1,6,true,21551,107757,50249,158006,5000,40,30,0.8,0
"a","Silo",1,6,true,17585,87964,40223,128187,5002,40,30,0.8,0
"a","Silo",1,7,true,23624,118145,63075,181220,5001,40,30,0.8,0
"a","Silo",1,7,true,23554,117845,63411,181256,5003,40,30,0.8,0
"a","Silo",1,7,true,23679,118423,63414,181837,5001,40,30,0.8,0
"a","Silo",1,8,true,25021,125182,74615,199797,5003,40,30,0.8,0
"a","Silo",1,8,true,20606,111994,66908,178902,5435,40,30,0.8,0
"a","Silo",1,8,true,20176,102416,61234,163650,5076,40,30,0.8,0
"a","Silo",1,9,true,26966,134860,87757,222617,5001,40,30,0.8,0
"a","Silo",1,9,true,26482,132440,86071,218511,5001,40,30,0.8,0
"a","Silo",1,9,true,26980,134928,88484,223412,5001,40,30,0.8,0
"a","Silo",1,10,true,27802,139038,95892,234930,5001,40,30,0.8,0
"a","Silo",1,10,true,27851,139285,96069,235354,5001,40,30,0.8,0
"a","Silo",1,10,true,23073,128934,88484,217418,5588,40,30,0.8,0
"a","Silo",1,11,true,28179,141039,99757,240796,5005,40,30,0.8,0
"a","Silo",1,11,true,28111,140587,99171,239758,5001,40,30,0.8,0
"a","Silo",1,11,true,27698,138546,98323,236869,5002,40,30,0.8,0
"a","Silo",1,12,true,24057,128225,91826,220051,5330,40,30,0.8,0
"a","Silo",1,12,true,28641,143234,104194,247428,5001,40,30,0.8,0
"a","Silo",1,12,true,28058,140378,101484,241862,5003,40,30,0.8,0
"a","Silo",1,13,true,29010,145170,106267,251437,5004,40,30,0.8,0
"a","Silo",1,13,true,27915,139607,103903,243510,5001,40,30,0.8,0
"a","Silo",1,13,true,24131,133858,98725,232583,5547,40,30,0.8,0
"a","Silo",1,14,true,29480,147430,110473,257903,5001,40,30,0.8,0
"a","Silo",1,14,true,29131,145685,108375,254060,5001,40,30,0.8,0
"a","Silo",1,14,true,23833,132872,100556,233428,5575,40,30,0.8,0
"a","Silo",1,15,true,29728,148673,114012,262685,5001,40,30,0.8,0
"a","Silo",1,15,true,29605,148059,111458,259517,5001,40,30,0.8,0
"a","Silo",1,15,true,22982,132381,98172,230553,5760,40,30,0.8,0
