innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,154.62,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,160.51,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,162.03,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,165.31,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,168.65,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,172.81,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,171.85,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,176.43,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,175.06,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,176.80,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,176.94,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,176.79,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,179.89,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.46,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.37,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,179.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,180.20,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.68,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,186.89,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.99,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.30,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,184.25,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,181.64,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.07,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,185.52,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.21,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
