workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,25584,127922,0,127922,5000,40,30,0.8,0
"a","Silo",1,1,true,22891,114455,0,114455,5000,40,30,0.8,0
"a","Silo",1,1,true,25403,127019,0,127019,5000,40,30,0.8,0
"a","Silo",1,2,true,44672,223363,31047,254410,5000,40,30,0.8,0
"a","Silo",1,2,true,43690,218451,29776,248227,5000,40,30,0.8,0
"a","Silo",1,2,true,43716,218582,30377,248959,5000,40,30,0.8,0
"a","Silo",1,3,true,62186,310931,86188,397119,5000,40,30,0.8,0
"a","Silo",1,3,true,60012,300061,82995,383056,5000,40,30,0.8,0
"a","Silo",1,3,true,61938,309690,85648,395338,5000,40,30,0.8,0
"a","Silo",1,4,true,73475,367376,148777,516153,5000,40,30,0.8,0
"a","Silo",1,4,true,73344,366721,147381,514102,5000,40,30,0.8,0
"a","Silo",1,4,true,73570,367852,148392,516244,5000,40,30,0.8,0
"a","Silo",1,5,true,85304,426522,220804,647326,5000,40,30,0.8,0
"a","Silo",1,5,true,84972,424862,219447,644309,5000,40,30,0.8,0
"a","Silo",1,5,true,84817,424089,219032,643121,5000,40,30,0.8,0
"a","Silo",1,6,true,92743,463715,283851,747566,5000,40,30,0.8,0
"a","Silo",1,6,true,101091,505459,311066,816525,5000,40,30,0.8,0
"a","Silo",1,6,true,103319,516596,315327,831923,5000,40,30,0.8,0
"a","Silo",1,7,true,90311,451559,312846,764405,5000,40,30,0.8,0
"a","Silo",1,7,true,90878,454663,314833,769496,5003,40,30,0.8,0
"a","Silo",1,7,true,91381,456909,314678,771587,5000,40,30,0.8,0
"a","Silo",1,8,true,84421,422108,314932,737040,5000,40,30,0.8,0
"a","Silo",1,8,true,84453,422266,314640,736906,5000,40,30,0.8,0
"a","Silo",1,8,true,80859,404298,303284,707582,5000,40,30,0.8,0
"a","Silo",1,1,true,25927,129636,0,129636,5000,40,30,0.8,1
"a","Silo",1,1,true,24800,124003,0,124003,5000,40,30,0.8,1
"a","Silo",1,1,true,24903,124515,0,124515,5000,40,30,0.8,1
"a","Silo",1,2,true,43947,219736,30644,250380,5000,40,30,0.8,1
"a","Silo",1,2,true,43842,219211,30515,249726,5000,40,30,0.8,1
"a","Silo",1,2,true,43663,218316,31109,249425,5000,40,30,0.8,1
"a","Silo",1,3,true,58689,293445,81222,374667,5000,40,30,0.8,1
"a","Silo",1,3,true,59535,297676,81489,379165,5000,40,30,0.8,1
"a","Silo",1,3,true,59073,295365,81945,377310,5000,40,30,0.8,1
"a","Silo",1,4,true,73507,367537,148236,515773,5000,40,30,0.8,1
"a","Silo",1,4,true,73391,366956,147547,514503,5000,40,30,0.8,1
"a","Silo",1,4,true,73364,366821,147940,514761,5000,40,30,0.8,1
"a","Silo",1,5,true,84491,422458,219624,642082,5000,40,30,0.8,1
"a","Silo",1,5,true,83943,419716,218431,638147,5000,40,30,0.8,1
"a","Silo",1,5,true,84555,422775,219526,642301,5000,40,30,0.8,1
"a","Silo",1,6,true,95917,479589,295470,775059,5000,40,30,0.8,1
"a","Silo",1,6,true,95368,476842,293731,770573,5000,40,30,0.8,1
"a","Silo",1,6,true,102544,512721,316942,829663,5000,40,30,0.8,1
"a","Silo",1,7,true,91387,456935,316666,773601,5000,40,30,0.8,1
"a","Silo",1,7,true,90324,451623,311355,762978,5000,40,30,0.8,1
"a","Silo",1,7,true,90099,450498,312280,762778,5000,40,30,0.8,1
"a","Silo",1,8,true,84969,424847,317985,742832,5000,40,30,0.8,1
"a","Silo",1,8,true,84261,421308,314858,736166,5000,40,30,0.8,1
"a","Silo",1,8,true,84179,420895,315572,736467,5000,40,30,0.8,1
"a","Silo",1,1,true,25862,129312,0,129312,5000,40,30,0.8,2
"a","Silo",1,1,true,25733,128665,0,128665,5000,40,30,0.8,2
"a","Silo",1,1,true,24887,124439,0,124439,5000,40,30,0.8,2
"a","Silo",1,2,true,45237,226189,31214,257403,5000,40,30,0.8,2
"a","Silo",1,2,true,45884,229422,31687,261109,5000,40,30,0.8,2
"a","Silo",1,2,true,44898,224493,30938,255431,5000,40,30,0.8,2
"a","Silo",1,3,true,59157,295788,78886,374674,5000,40,30,0.8,2
"a","Silo",1,3,true,60988,304940,83390,388330,5000,40,30,0.8,2
"a","Silo",1,3,true,59355,296778,81078,377856,5000,40,30,0.8,2
"a","Silo",1,4,true,73011,365055,147163,512218,5000,40,30,0.8,2
"a","Silo",1,4,true,73421,367107,148686,515793,5000,40,30,0.8,2
"a","Silo",1,4,true,73702,368510,148164,516674,5000,40,30,0.8,2
"a","Silo",1,5,true,83099,415495,209896,625391,5000,40,30,0.8,2
"a","Silo",1,5,true,84397,421987,219445,641432,5000,40,30,0.8,2
"a","Silo",1,5,true,84700,423504,219542,643046,5000,40,30,0.8,2
"a","Silo",1,6,true,95279,476397,294325,770722,5000,40,30,0.8,2
"a","Silo",1,6,true,95357,476785,294773,771558,5000,40,30,0.8,2
"a","Silo",1,6,true,96359,481799,295025,776824,5000,40,30,0.8,2
"a","Silo",1,7,true,90671,453629,313139,766768,5003,40,30,0.8,2
"a","Silo",1,7,true,89240,446200,309820,756020,5000,40,30,0.8,2
"a","Silo",1,7,true,89687,448437,310130,758567,5000,40,30,0.8,2
"a","Silo",1,8,true,85023,425116,317799,742915,5000,40,30,0.8,2
"a","Silo",1,8,true,83951,419755,315052,734807,5000,40,30,0.8,2
"a","Silo",1,8,true,84754,424279,316664,740943,5006,40,30,0.8,2
"a","Silo",1,1,true,25671,128357,0,128357,5000,40,30,0.8,3
"a","Silo",1,1,true,23702,118510,0,118510,5000,40,30,0.8,3
"a","Silo",1,1,true,25331,126658,0,126658,5000,40,30,0.8,3
"a","Silo",1,2,true,45226,226131,31143,257274,5000,40,30,0.8,3
"a","Silo",1,2,true,45007,225037,31135,256172,5000,40,30,0.8,3
"a","Silo",1,2,true,45136,225684,31179,256863,5000,40,30,0.8,3
"a","Silo",1,3,true,55019,275096,75659,350755,5000,40,30,0.8,3
"a","Silo",1,3,true,55921,279605,76104,355709,5000,40,30,0.8,3
"a","Silo",1,3,true,54172,270860,72540,343400,5000,40,30,0.8,3
"a","Silo",1,4,true,73506,367531,147841,515372,5000,40,30,0.8,3
"a","Silo",1,4,true,73415,367076,146977,514053,5000,40,30,0.8,3
"a","Silo",1,4,true,69919,349599,137536,487135,5000,40,30,0.8,3
"a","Silo",1,5,true,77653,388267,194113,582380,5000,40,30,0.8,3
"a","Silo",1,5,true,81259,406297,207719,614016,5000,40,30,0.8,3
